Id,Label,degree_centrality,in_degree_centrality,out_degree_centrality,eigenvector_centrality,clustering_coefficient,pagerank,betweenness_centrality,closeness_centrality,community,bridging_node
0,larsch,0.00027081189405838704,0.00027081189405838704,0.00027081189405838704,6.862312772254346e-05,1.0,1.367732710743549e-05,0.0,0.3611169987282747,669,1
1,immjs,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,0.2709778740830567,669,1
2,sjlehn,0.00018956832584087093,0.00010832475762335481,0.00027081189405838704,1.6994540095755314e-05,1.0,9.00418316497822e-06,0.0,0.3722823118103354,401,1
3,orta,0.00018956832584087093,5.416237881167741e-05,0.00032497427287006444,2.0574783334582458e-05,1.0,8.496849946529224e-06,0.0,0.35684364854958633,782,1
4,tebeka,2.7081189405838704e-05,5.416237881167741e-05,0.0,1.4099442099211256e-05,0.0,8.652198080638393e-06,0.0,0.0,1068,1
5,eyalsach,8.124356821751611e-05,0.00010832475762335481,5.416237881167741e-05,2.6852326291192026e-05,1.0,9.514243714419132e-06,0.0,0.3341177624160416,1068,1
6,stenalpjolly,0.00027081189405838704,0.00021664951524670963,0.00032497427287006444,3.2574448056926613e-05,1.0,9.80111109727573e-06,0.0,0.3630020240758496,327,1
7,crazywako,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,539,1
8,mamatha-jv,8.124356821751611e-05,5.416237881167741e-05,0.00010832475762335481,1.5846099423425417e-06,1.0,8.45949547030278e-06,0.0,0.3349882029099489,327,1
9,icodeforlove,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,327,0
10,tjwebb,0.00016248713643503222,0.00021664951524670963,0.00010832475762335481,6.140761036544889e-05,0.8666666666666667,1.0310650338782715e-05,3.260187780063744e-08,0.3279674679371496,1068,1
11,wasitmirani,5.416237881167741e-05,0.00010832475762335481,0.0,2.733614308099454e-07,0.0,9.040823244965428e-06,0.0,0.0,782,1
12,hhorak,5.416237881167741e-05,0.00010832475762335481,0.0,7.183025837879478e-06,1.0,8.66560078437843e-06,0.0,0.0,1068,1
13,martinmckenna,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,327,1
14,negatratoron,0.00027081189405838704,0.00027081189405838704,0.00027081189405838704,5.904147889696504e-05,1.0,1.123441007400619e-05,0.0,0.3820709760609968,1068,1
15,h1z1,8.124356821751611e-05,5.416237881167741e-05,0.00010832475762335481,2.2468926311047404e-06,0.0,8.30492657087199e-06,6.353072166879167e-10,0.32420732142432385,782,1
16,jackfromeast,0.0,0.0,0.0,0.0,0.0,8.123916811091856e-06,0.0,0.0,0,0
17,cola119,0.004278827926122515,0.0038996912744407733,0.004657964577804257,0.00847738325921884,0.31230907457322554,0.00019100658763553894,0.0005116335041134448,0.4521929533541238,891,1
18,RobinTail,0.00010832475762335481,0.00021664951524670963,0.0,4.9895358833526e-05,0.5,1.77806299632501e-05,0.0,0.0,782,1
19,wietsevenema,0.00029789308346422574,0.00021664951524670963,0.00037913665168174185,5.8892229405582175e-05,0.8571428571428571,1.153506368125563e-05,1.1071291851208163e-08,0.36127972009436216,327,1
20,mihan007,0.00046038021989925796,0.00048746140930509667,0.00043329903049341926,0.0004421356332041369,0.8333333333333334,1.7339707977421708e-05,5.026906316772609e-07,0.39103741106265777,401,1
21,almansourcisse743-ops,0.0,0.0,0.0,0.0,0.0,8.123916811091856e-06,0.0,0.0,1,0
22,pedrottimark,5.416237881167741e-05,5.416237881167741e-05,5.416237881167741e-05,2.3622293282732662e-05,0.0,8.452376440832e-06,0.0,0.35263375763220534,327,1
23,isavegas,0.00021664951524670963,0.00043329903049341926,0.0,6.738968621101654e-06,0.4642857142857143,1.4331796714419527e-05,0.0,0.0,669,1
24,TonySpegel,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,1068,1
25,MartiniHenry1988,2.7081189405838704e-05,5.416237881167741e-05,0.0,2.114916314881688e-05,0.0,8.916338715411663e-06,0.0,0.0,1068,1
26,damien-git,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,669,1
27,wayofthefuture,5.416237881167741e-05,5.416237881167741e-05,5.416237881167741e-05,1.1323876269257547e-05,1.0,8.554188421115487e-06,0.0,0.30177567196563787,401,1
28,holm,0.00010832475762335481,0.00010832475762335481,0.00010832475762335481,3.9657477968567174e-05,1.0,9.27203353634354e-06,0.0,0.36000105649613057,669,1
29,lspiehler,0.0,0.0,0.0,0.0,0.0,8.123916811091856e-06,0.0,0.0,2,0
30,zalupoi,0.00013540594702919352,0.00027081189405838704,0.0,2.2212608247403585e-05,0.6,1.6377404774326307e-05,0.0,0.0,782,1
31,king350023,2.7081189405838704e-05,5.416237881167741e-05,0.0,0.0,0.0,1.5029246100519933e-05,0.0,0.0,591,0
32,dmitriym09,0.00018956832584087093,0.00037913665168174185,0.0,3.5168659486471474e-05,0.19047619047619047,3.1515196565268876e-05,0.0,0.0,891,1
33,mustafafatal,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,0.30357898487784235,327,1
34,loyd,0.00010832475762335481,0.00010832475762335481,0.00010832475762335481,5.0636465627210624e-06,1.0,9.7516393154126e-06,0.0,0.3327880459994629,669,1
35,cornopaez,0.00013540594702919352,0.00027081189405838704,0.0,2.56765851397052e-05,0.7,1.0190298207541982e-05,0.0,0.0,1068,1
36,ffflorian,2.7081189405838704e-05,5.416237881167741e-05,0.0,7.049721049605628e-06,0.0,8.388057445865125e-06,0.0,0.0,1068,1
37,Prateek462003,0.00024373070465254833,0.00016248713643503222,0.00032497427287006444,4.1716389130034e-05,0.4,9.132617054091725e-06,1.952263066973736e-06,0.3504036197233791,955,1
38,hhsprings,8.124356821751611e-05,0.00016248713643503222,0.0,9.19313491797836e-05,1.0,9.81025871436022e-06,0.0,0.0,327,1
39,elyran,8.124356821751611e-05,0.00016248713643503222,0.0,1.529529853857459e-05,1.0,9.87714577844673e-06,0.0,0.0,327,1
40,derolf,8.124356821751611e-05,0.00010832475762335481,5.416237881167741e-05,2.057241401300622e-05,0.3333333333333333,8.770609734199092e-06,1.587915157871794e-07,1.0,957,1
41,Jzarecta,5.416237881167741e-05,0.00010832475762335481,0.0,2.0893850425096854e-05,1.0,8.923257405830001e-06,0.0,0.0,669,1
42,eyalroth,0.00010832475762335481,0.00021664951524670963,0.0,7.401244864244909e-05,1.0,1.1468160511646129e-05,0.0,0.0,539,1
43,agracia-foticos,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,782,1
44,ajays97,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,891,1
45,chuyaguo2014,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,1068,1
46,andreubotella,0.00018956832584087093,0.00016248713643503222,0.00021664951524670963,0.00020298182790118538,0.7,1.0223162147461047e-05,8.023016812114053e-08,0.35260638985900916,891,1
47,Fryuni,5.416237881167741e-05,0.00010832475762335481,0.0,1.5671819379238155e-05,1.0,9.633045153425382e-06,0.0,0.0,669,1
48,cyco130,0.00013540594702919352,0.00027081189405838704,0.0,1.1397468473116917e-06,0.0,3.1054409432205815e-05,0.0,0.0,782,1
49,didmehh,0.0,0.0,0.0,0.0,0.0,8.123916811091856e-06,0.0,0.0,3,0
50,yemanett,5.416237881167741e-05,5.416237881167741e-05,5.416237881167741e-05,0.00015562711343028457,0.0,1.3193222351233216e-05,0.0,0.3412789824227553,401,1
51,mpsommer,0.00021664951524670963,5.416237881167741e-05,0.00037913665168174185,6.29927820872871e-05,1.0,8.999809157065576e-06,0.0,0.3846913719624058,327,1
52,mullim,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,401,1
53,Flimm,0.00037913665168174185,0.00043329903049341926,0.00032497427287006444,0.00023981223072078945,1.0,1.6024084010204142e-05,0.0,0.38836334625028496,401,1
54,mkvlrn,8.124356821751611e-05,0.00016248713643503222,0.0,2.428000491177634e-05,0.3333333333333333,1.2818453289058739e-05,0.0,0.0,891,1
55,a7madgamal,5.416237881167741e-05,5.416237881167741e-05,5.416237881167741e-05,1.2079324320314387e-06,0.0,8.496231685068877e-06,0.0,0.31900950241071013,1068,1
56,comods,0.00021664951524670963,0.00016248713643503222,0.00027081189405838704,4.997163409592381e-05,1.0,9.73360263772594e-06,0.0,0.37090453902253184,401,1
57,AdrianoRobson,8.124356821751611e-05,0.00010832475762335481,5.416237881167741e-05,2.1928741253360027e-05,0.3333333333333333,9.560760236525613e-06,7.112948887710916e-07,1.0,669,1
58,Miguel736j,2.7081189405838704e-05,5.416237881167741e-05,0.0,1.0409593697670448e-06,0.0,8.349490335608973e-06,0.0,0.0,782,1
59,DmitryAstafyev,2.7081189405838704e-05,5.416237881167741e-05,0.0,3.7016629639500585e-05,0.0,8.83530645295561e-06,0.0,0.0,401,1
60,JacksonKearl,2.7081189405838704e-05,5.416237881167741e-05,0.0,2.2268364455674074e-06,0.0,8.3556038997291e-06,0.0,0.0,891,1
61,tcf909,8.124356821751611e-05,0.00010832475762335481,5.416237881167741e-05,4.052858293579151e-05,0.6666666666666666,9.091580651339817e-06,1.7306364152980427e-08,0.2118565033573738,327,1
62,nitsky,5.416237881167741e-05,0.00010832475762335481,0.0,1.4099475118014332e-05,0.0,9.502827965181623e-06,0.0,0.0,1068,1
63,BenukEl,2.7081189405838704e-05,5.416237881167741e-05,0.0,1.0452981730144417e-06,0.0,8.515826516228673e-06,0.0,0.0,327,1
64,vortexilation,0.0,0.0,0.0,0.0,0.0,8.123916811091856e-06,0.0,0.0,4,0
65,christyleung1987,0.00018956832584087093,0.00016248713643503222,0.00021664951524670963,6.288991204613316e-05,1.0,9.278566571340172e-06,0.0,0.386546042369757,327,1
66,mihailik,5.416237881167741e-05,5.416237881167741e-05,5.416237881167741e-05,4.959673401251467e-06,0.0,8.514817741312019e-06,0.0,0.34626425831364477,669,1
67,neil-119,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,1068,1
68,Drithyl,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,0.3254153934300993,401,1
69,murakami,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,0.3227800142079091,782,1
70,IdkGoodName,0.00013540594702919352,0.00027081189405838704,0.0,3.683855406974426e-05,0.8,1.0736356128800834e-05,0.0,0.0,669,1
71,zhangyy985,5.416237881167741e-05,0.00010832475762335481,0.0,7.049721049605628e-06,0.0,1.52933867352932e-05,0.0,0.0,1068,1
72,Phantomghost1,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,891,1
73,armoreal,0.00018956832584087093,0.00037913665168174185,0.0,6.855347369094792e-05,0.47619047619047616,2.6982179440683504e-05,0.0,0.0,955,1
74,jianliao,8.124356821751611e-05,0.00016248713643503222,0.0,1.7257150075680253e-06,0.0,2.220729788667017e-05,0.0,0.0,254,1
75,ddimitrioglo,5.416237881167741e-05,0.00010832475762335481,0.0,8.471626697542396e-06,1.0,8.771091939696226e-06,0.0,0.0,957,1
76,j-r-smith,5.416237881167741e-05,0.00010832475762335481,0.0,2.8581966683984128e-05,1.0,8.843277371052164e-06,0.0,0.0,669,1
77,wzup,8.124356821751611e-05,5.416237881167741e-05,0.00010832475762335481,1.2079324320314387e-06,1.0,8.496231685068877e-06,0.0,0.3292429585970337,1068,1
78,cyrilchapon,0.00016248713643503222,0.00032497427287006444,0.0,6.063465381847312e-05,0.7333333333333333,1.0550850301319998e-05,0.0,0.0,401,1
79,KristianRykkje,8.124356821751611e-05,5.416237881167741e-05,0.00010832475762335481,3.149639104364355e-05,1.0,8.561862984078715e-06,0.0,0.35312710503134875,327,1
80,v12,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,669,1
81,sysmat,0.00010832475762335481,0.00021664951524670963,0.0,5.3680075922986886e-05,0.5,1.6912763649303155e-05,0.0,0.0,327,1
82,Rstar1998,5.416237881167741e-05,0.00010832475762335481,0.0,1.8139806108790003e-05,1.0,9.19529955658524e-06,0.0,0.0,401,1
83,BrettHoutz,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,891,1
84,Subnum12,2.7081189405838704e-05,5.416237881167741e-05,0.0,8.682509927728504e-06,0.0,8.732913246944214e-06,0.0,0.0,782,1
85,jenishkatuwal11,0.0,0.0,0.0,0.0,0.0,8.123916811091856e-06,0.0,0.0,5,0
86,bajian,2.7081189405838704e-05,5.416237881167741e-05,0.0,2.6023658907393622e-09,0.0,8.659460893770527e-06,0.0,0.0,327,1
87,hegerdes,2.7081189405838704e-05,5.416237881167741e-05,0.0,2.819888419842251e-05,0.0,9.180479350184932e-06,0.0,0.0,1068,1
88,LakshmiSwethaG,0.00048746140930509667,0.00043329903049341926,0.0005416237881167741,0.00020068382257449845,1.0,1.6605721834008762e-05,0.0,0.39815382817748957,327,1
89,Cellule,0.00010832475762335481,0.00016248713643503222,5.416237881167741e-05,2.4754304705718974e-06,0.5,9.67445454825531e-06,3.948687258257071e-08,0.32695260026866246,1068,1
90,daltonna,0.00010832475762335481,0.0,0.00021664951524670963,0.0,0.0,8.123916811091856e-06,0.0,0.30030843798193435,782,1
91,zerdos,5.416237881167741e-05,5.416237881167741e-05,5.416237881167741e-05,1.5562711343028455e-05,0.0,8.630847365105992e-06,0.0,0.3412789824227553,401,1
92,stsoib,5.416237881167741e-05,0.00010832475762335481,0.0,2.3795744247470525e-05,0.0,1.5981317334531853e-05,0.0,0.0,891,1
93,p4rkjeno,0.0,0.0,0.0,0.0,0.0,8.123916811091856e-06,0.0,0.0,6,0
94,kaloprominat,8.124356821751611e-05,0.00016248713643503222,0.0,3.10658932142322e-05,1.0,9.794958247680862e-06,0.0,0.0,401,1
95,ginonott,0.00024373070465254833,0.00016248713643503222,0.00032497427287006444,2.4264317614246773e-05,1.0,8.939662538586778e-06,0.0,0.37087426192484557,327,1
96,blueiceprj,2.7081189405838704e-05,5.416237881167741e-05,0.0,7.049721049605628e-06,0.0,8.388057445865125e-06,0.0,0.0,1068,1
97,rstagi,0.00013540594702919352,0.00016248713643503222,0.00010832475762335481,3.221915675234339e-05,0.4,9.61818159212113e-06,4.946273473356232e-07,0.27979636244200845,782,1
98,ImanCol,5.416237881167741e-05,5.416237881167741e-05,5.416237881167741e-05,4.856152751222039e-08,0.0,1.4119279136206863e-05,0.0,0.259881404084123,891,1
99,F1r3Hydr4nt,5.416237881167741e-05,5.416237881167741e-05,5.416237881167741e-05,2.7990607451211536e-05,0.0,8.74241672847582e-06,0.0,0.3483617032152533,401,1
100,mdavis777,2.7081189405838704e-05,5.416237881167741e-05,0.0,4.959673401251467e-06,0.0,8.514817741312019e-06,0.0,0.0,669,1
101,Chuck-EP,0.00010832475762335481,0.00021664951524670963,0.0,4.565852658786905e-05,1.0,1.0234143495110226e-05,0.0,0.0,669,1
102,vokrik,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,0.21818327330932372,1068,1
103,Paul-Browne,2.7081189405838704e-05,5.416237881167741e-05,0.0,3.5198476364475634e-05,0.0,8.867531425788798e-06,0.0,0.0,782,1
104,GRBurst,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,891,1
105,Alexis374,0.00016248713643503222,0.00016248713643503222,0.00016248713643503222,5.792441159131473e-05,1.0,9.484085934005623e-06,0.0,0.364633493846977,401,1
106,kohei-takata,0.00043329903049341926,0.00043329903049341926,0.00043329903049341926,0.00013856772533227184,1.0,1.3071676794494783e-05,0.0,0.4031709409293933,1068,1
107,Alexander-Ludwig,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,1068,1
108,kipio,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,401,0
109,mike-zorn,0.00027081189405838704,0.00027081189405838704,0.00027081189405838704,8.201836019864361e-06,0.6,1.8265579820770297e-05,6.394340854616624e-05,0.3626832708017349,669,1
110,PaulBlanche,0.00016248713643503222,0.00016248713643503222,0.00016248713643503222,3.540883276061365e-05,1.0,9.219009879922195e-06,0.0,0.3586653334035051,327,1
111,sounisi5011,5.416237881167741e-05,5.416237881167741e-05,5.416237881167741e-05,2.2265810138216634e-08,0.0,8.534080422020431e-06,0.0,0.273711267747053,955,1
112,Jaracz42,0.0,0.0,0.0,0.0,0.0,8.123916811091856e-06,0.0,0.0,7,0
113,AlexCannonball,0.00018956832584087093,0.00010832475762335481,0.00027081189405838704,0.00010685736651530893,0.6,9.37279404318311e-06,2.5763012176485328e-06,0.34673111167641824,891,1
114,paskakaska,2.7081189405838704e-05,0.0,5.416237881167741e-05,0.0,0.0,8.123916811091856e-06,0.0,1.0,1068,1
