Id,Label,betweenness_centrality,bridging_node,closeness_centrality,clustering_coefficient,degree_centrality,eigenvector_centrality,in_degree_centrality,out_degree_centrality,pagerank
0,fisker,0.0,0,0.266025641025641,0.0,0.00020723241114910373,0.0,0.0,0.00020723241114910373,1.5540820555325324e-05
1,jamesseanwright,0.0,0,0.32421875,0.0,0.00010361620557455187,0.0,0.0,0.00010361620557455187,1.5540820555325324e-05
2,EvilG-MC,0.0,1,0.2743801652892562,0.0,0.00010361620557455187,0.0,0.0,0.00010361620557455187,1.5540820555325324e-05
3,soncodi,0.0,0,0.30127041742286753,0.0,0.00010361620557455187,0.0,0.0,0.00010361620557455187,1.5540820555325324e-05
4,fabiancook,0.0,1,0.2980251346499102,1.0,0.00020723241114910373,0.0,0.0,0.00020723241114910373,1.5540820555325324e-05
5,ylyxf,0.0,0,0.32421875,0.0,0.00010361620557455187,0.0,0.0,0.00010361620557455187,1.5540820555325324e-05
6,adrai,0.0,1,0.37303370786516854,0.8333333333333334,0.00041446482229820747,0.0,0.0,0.00041446482229820747,1.5540820555325324e-05
7,aleksusklim,0.0,1,0.30514705882352944,0.0,0.00010361620557455187,0.0,0.0,0.00010361620557455187,1.5540820555325324e-05
8,msimerson,0.0,0,0.32421875,0.0,0.00010361620557455187,0.0,0.0,0.00010361620557455187,1.5540820555325324e-05
9,kevinsawicki,0.0,0,0.32421875,0.0,0.00010361620557455187,0.0,0.0,0.00010361620557455187,1.5540820555325324e-05
10,pddevops,0.0,0,0.30127041742286753,0.0,0.00010361620557455187,0.0,0.0,0.00010361620557455187,1.5540820555325324e-05
11,CodPro-Sui,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5540820555325324e-05
12,Jbooby,0.0,0,0.3480083857442348,0.0,0.00010361620557455187,0.0,0.0,0.00010361620557455187,1.5540820555325324e-05
13,mpark86,0.0,1,0.3755656108597285,1.0,0.00020723241114910373,0.0,0.0,0.00020723241114910373,1.5540820555325324e-05
