Id,Label,betweenness_centrality,bridging_node,closeness_centrality,clustering_coefficient,degree_centrality,eigenvector_centrality,in_degree_centrality,out_degree_centrality,pagerank
0,arguiot,0.0,1,0.0,0.7142857142857143,0.00044057715607445755,0.008740803014014845,0.00044057715607445755,0.0,1.6966665716617608e-05
1,slendertaker,0.0,1,0.0,1.0,0.00016521643352792158,0.002889078063484279,0.00016521643352792158,0.0,9.979042480872846e-06
2,simon-tannai,0.0,1,0.0,0.0,5.5072144509307194e-05,0.0017330269530864107,5.5072144509307194e-05,0.0,8.572079850972567e-06
3,ludofischer,0.0,1,0.3137046906936431,0.0,5.5072144509307194e-05,0.0,0.0,5.5072144509307194e-05,8.260366760284158e-06
4,crunchtime-ali,0.0,1,0.0,0.0,0.00011014428901861439,0.0017330269530864107,0.00011014428901861439,0.0,1.2082735724093335e-05
5,abderrahimbozakri,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.260366760284158e-06
6,oxygen,0.0,1,0.26945043223182735,0.0,0.00027536072254653594,0.0,0.0,0.00027536072254653594,8.260366760284158e-06
7,itachi47,0.0,1,0.0,0.0,5.5072144509307194e-05,0.0009396327185441582,5.5072144509307194e-05,0.0,1.0257884371437817e-05
8,adriancuadrado,0.0,1,0.0,1.0,0.00011014428901861439,0.001689802414124605,0.00011014428901861439,0.0,8.877576300496118e-06
9,kojiGit55,0.0,1,0.0,1.0,0.00016521643352792158,0.003456149853299217,0.00016521643352792158,0.0,1.0737293858767996e-05
10,saivanji,0.0,1,0.0,1.0,0.00011014428901861439,0.003569753956111901,0.00011014428901861439,0.0,8.95040131700459e-06
11,12214053332,0.0,1,0.0,0.0,5.5072144509307194e-05,0.0017330269530864107,5.5072144509307194e-05,0.0,8.572079850972567e-06
12,derek-findthebrink,0.0,1,0.0,0.0,5.5072144509307194e-05,0.001398284701502005,5.5072144509307194e-05,0.0,8.631320247680963e-06
13,kevinohara80,0.0,1,0.0,1.0,0.00022028857803722878,0.005475533268316979,0.00022028857803722878,0.0,1.2303292482305665e-05
14,thedracle,0.0,1,0.5714285714285714,0.0,5.5072144509307194e-05,0.0,0.0,5.5072144509307194e-05,8.260366760284158e-06
15,idanalkhalid,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.260366760284158e-06
16,silentroach,7.384679695300199e-05,1,0.350637707146369,0.5,0.00033043286705584316,0.004911620636822236,0.00022028857803722878,0.00011014428901861439,3.9403599225731774e-05
17,dzilbers,0.0,1,0.0,1.0,0.00011014428901861439,0.0027759988344954216,0.00011014428901861439,0.0,9.005291007959129e-06
18,aloisklink,0.0,1,0.0,1.0,0.00011014428901861439,0.0021969487182243574,0.00011014428901861439,0.0,8.788777532554905e-06
19,keithslater,0.0,1,1.0,0.0,5.5072144509307194e-05,0.0,0.0,5.5072144509307194e-05,8.260366760284158e-06
20,Janpot,0.0,1,0.0,0.3333333333333333,0.00016521643352792158,0.0032788939674639177,0.00016521643352792158,0.0,1.6370482961296946e-05
21,sagar-jadhav,1.4696146015034372e-08,1,0.32470941132358455,1.0,0.00016521643352792158,0.001717284868590789,0.00011014428901861439,5.5072144509307194e-05,8.745921649245326e-06
22,philz,0.0,1,0.2127081030822939,0.0,5.5072144509307194e-05,0.0,0.0,5.5072144509307194e-05,8.260366760284158e-06
23,mike182uk,0.0,1,0.35593916974928075,1.0,0.00022028857803722878,0.005210228906749542,0.00016521643352792158,5.5072144509307194e-05,9.902480321444983e-06
24,uy0101,0.0,1,0.0,0.0,5.5072144509307194e-05,0.0017330269530864107,5.5072144509307194e-05,0.0,8.572079850972567e-06
25,sasikumar2493,0.0,1,0.0,0.0,5.5072144509307194e-05,0.001880609265961913,5.5072144509307194e-05,0.0,8.97821772765861e-06
26,jstarks,0.0,1,0.21791484696536725,0.0,5.5072144509307194e-05,0.0,0.0,5.5072144509307194e-05,8.260366760284158e-06
27,meetDeveloper,0.0,1,0.25760054388238546,0.0,5.5072144509307194e-05,0.0,0.0,5.5072144509307194e-05,8.260366760284158e-06
28,tstanev,0.0,1,0.0,0.0,5.5072144509307194e-05,0.002124876164522899,5.5072144509307194e-05,0.0,9.092474524466642e-06
29,digitaldina,0.0,1,0.0,0.9,0.00027536072254653594,0.005212554587580808,0.00027536072254653594,0.0,1.0105250582606796e-05
30,bakpatrycja,0.0,1,0.33645974970169545,0.0,5.5072144509307194e-05,0.0,0.0,5.5072144509307194e-05,8.260366760284158e-06
31,jasholl,0.0,1,0.0,1.0,0.00011014428901861439,0.0022244174170407156,0.00011014428901861439,0.0,9.349089654560727e-06
32,Antonius-S,2.111233533614118e-05,1,0.3089546914020692,0.3241106719367589,0.0013217314682233727,0.017013015318439777,0.0007710100231303007,0.0005507214450930719,2.257634448760927e-05
33,L3P3,0.0,1,0.32990504176529806,0.0,5.5072144509307194e-05,0.0,0.0,5.5072144509307194e-05,8.260366760284158e-06
34,Kukunin,0.0,1,1.0,0.0,5.5072144509307194e-05,0.0,0.0,5.5072144509307194e-05,8.260366760284158e-06
35,sayymeer,0.0,1,1.0,0.0,5.5072144509307194e-05,0.0,0.0,5.5072144509307194e-05,8.260366760284158e-06
36,KindWizzard,0.0,1,0.0,0.0,0.00011014428901861439,0.0014174005263413382,0.00011014428901861439,0.0,9.180382511093889e-06
37,abalter,0.0,1,0.0,0.0,0.00011014428901861439,0.0017330269530864107,0.00011014428901861439,0.0,1.5593391597214102e-05
38,Neaox,0.0,1,1.0,0.0,5.5072144509307194e-05,0.0,0.0,5.5072144509307194e-05,8.260366760284158e-06
39,dan-mcdonald,0.0,1,0.3028297410025225,0.0,5.5072144509307194e-05,0.0,0.0,5.5072144509307194e-05,8.260366760284158e-06
40,SayeedMahdi,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.260366760284158e-06
41,regseb,0.00013522146802888058,1,0.27459062804339457,0.47096774193548385,0.0017623086242978302,0.020952602157137425,0.0014869479017512943,0.00027536072254653594,5.725647702245227e-05
42,srapilly,0.0,1,0.0,1.0,0.00016521643352792158,0.0036189227382410335,0.00016521643352792158,0.0,1.073686174116365e-05
43,vishwasrao,0.0,1,1.0,0.0,5.5072144509307194e-05,0.0,0.0,5.5072144509307194e-05,8.260366760284158e-06
44,andred,0.0,1,0.0,1.0,0.00016521643352792158,0.003359556901815988,0.00016521643352792158,0.0,9.537701926874144e-06
45,callmebar,0.0,1,0.0,0.8333333333333334,0.00022028857803722878,0.002134559248208342,0.00022028857803722878,0.0,1.208952145014348e-05
46,jimmyolo,0.0,1,0.0,1.0,0.00016521643352792158,0.0039807108500895545,0.00016521643352792158,0.0,1.043851710877447e-05
