Id,Label,betweenness_centrality,bridging_node,closeness_centrality,clustering_coefficient,degree_centrality,eigenvector_centrality,in_degree_centrality,out_degree_centrality,pagerank
0,larsch,0.0,1,0.3611169987282747,1.0,0.0005416237881167741,6.862312772254346e-05,0.00027081189405838704,0.00027081189405838704,1.367732710743549e-05
1,immjs,0.0,1,0.2709778740830567,0.0,5.416237881167741e-05,0.0,0.0,5.416237881167741e-05,8.123916811091856e-06
2,sjlehn,0.0,1,0.3722823118103354,1.0,0.00037913665168174185,1.6994540095755314e-05,0.00010832475762335481,0.00027081189405838704,9.00418316497822e-06
3,orta,0.0,1,0.35684364854958633,1.0,0.00037913665168174185,2.0574783334582458e-05,5.416237881167741e-05,0.00032497427287006444,8.496849946529224e-06
4,tebeka,0.0,1,0.0,0.0,5.416237881167741e-05,1.4099442099211256e-05,5.416237881167741e-05,0.0,8.652198080638393e-06
5,eyalsach,0.0,1,0.3341177624160416,1.0,0.00016248713643503222,2.6852326291192026e-05,0.00010832475762335481,5.416237881167741e-05,9.514243714419132e-06
6,stenalpjolly,0.0,1,0.3630020240758496,1.0,0.0005416237881167741,3.2574448056926613e-05,0.00021664951524670963,0.00032497427287006444,9.80111109727573e-06
7,crazywako,0.0,1,1.0,0.0,5.416237881167741e-05,0.0,0.0,5.416237881167741e-05,8.123916811091856e-06
8,mamatha-jv,0.0,1,0.3349882029099489,1.0,0.00016248713643503222,1.5846099423425417e-06,5.416237881167741e-05,0.00010832475762335481,8.45949547030278e-06
9,icodeforlove,0.0,0,1.0,0.0,5.416237881167741e-05,0.0,0.0,5.416237881167741e-05,8.123916811091856e-06
10,tjwebb,3.260187780063744e-08,1,0.3279674679371496,0.8666666666666667,0.00032497427287006444,6.140761036544889e-05,0.00021664951524670963,0.00010832475762335481,1.0310650338782715e-05
11,wasitmirani,0.0,1,0.0,0.0,0.00010832475762335481,2.733614308099454e-07,0.00010832475762335481,0.0,9.040823244965428e-06
12,hhorak,0.0,1,0.0,1.0,0.00010832475762335481,7.183025837879478e-06,0.00010832475762335481,0.0,8.66560078437843e-06
13,martinmckenna,0.0,1,1.0,0.0,5.416237881167741e-05,0.0,0.0,5.416237881167741e-05,8.123916811091856e-06
14,negatratoron,0.0,1,0.3820709760609968,1.0,0.0005416237881167741,5.904147889696504e-05,0.00027081189405838704,0.00027081189405838704,1.123441007400619e-05
15,h1z1,6.353072166879167e-10,1,0.32420732142432385,0.0,0.00016248713643503222,2.2468926311047404e-06,5.416237881167741e-05,0.00010832475762335481,8.30492657087199e-06
16,jackfromeast,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.123916811091856e-06
17,cola119,0.0005116335041134449,1,0.4521929533541238,0.31230907457322554,0.00855765585224503,0.00847738325921884,0.0038996912744407733,0.004657964577804257,0.00019100658763553894
18,RobinTail,0.0,1,0.0,0.5,0.00021664951524670963,4.9895358833526e-05,0.00021664951524670963,0.0,1.77806299632501e-05
19,wietsevenema,1.1071291851208163e-08,1,0.36127972009436216,0.8571428571428571,0.0005957861669284515,5.8892229405582175e-05,0.00021664951524670963,0.00037913665168174185,1.153506368125563e-05
20,mihan007,5.026906316772609e-07,1,0.39103741106265777,0.8333333333333334,0.0009207604397985159,0.0004421356332041369,0.00048746140930509667,0.00043329903049341926,1.7339707977421708e-05
21,almansourcisse743-ops,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.123916811091856e-06
22,pedrottimark,0.0,1,0.35263375763220534,0.0,0.00010832475762335481,2.3622293282732662e-05,5.416237881167741e-05,5.416237881167741e-05,8.452376440832e-06
23,isavegas,0.0,1,0.0,0.4642857142857143,0.00043329903049341926,6.738968621101654e-06,0.00043329903049341926,0.0,1.4331796714419527e-05
24,TonySpegel,0.0,1,1.0,0.0,5.416237881167741e-05,0.0,0.0,5.416237881167741e-05,8.123916811091856e-06
25,MartiniHenry1988,0.0,1,0.0,0.0,5.416237881167741e-05,2.114916314881688e-05,5.416237881167741e-05,0.0,8.916338715411663e-06
26,damien-git,0.0,1,1.0,0.0,5.416237881167741e-05,0.0,0.0,5.416237881167741e-05,8.123916811091856e-06
27,wayofthefuture,0.0,1,0.30177567196563787,1.0,0.00010832475762335481,1.1323876269257547e-05,5.416237881167741e-05,5.416237881167741e-05,8.554188421115487e-06
28,holm,0.0,1,0.36000105649613057,1.0,0.00021664951524670963,3.9657477968567174e-05,0.00010832475762335481,0.00010832475762335481,9.27203353634354e-06
29,lspiehler,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.123916811091856e-06
