Id,Label,betweenness_centrality,bridging_node,closeness_centrality,clustering_coefficient,degree_centrality,eigenvector_centrality,in_degree_centrality,out_degree_centrality,pagerank
0,davidguttman,0.0,1,0.3630527817403709,1.0,0.0005365766410302271,0.0,0.0,0.0005365766410302271,2.6824034334763954e-05
1,al-k21,0.0,1,0.3735779816513761,0.8461538461538461,0.0023251654444643175,0.0,0.0,0.0023251654444643175,2.6824034334763954e-05
2,dingbx,0.0,1,0.3523710626514365,0.8333333333333334,0.0007154355213736362,0.0,0.0,0.0007154355213736362,2.6824034334763954e-05
3,mcpiroman,0.0,1,0.3499484358886215,0.6,0.0008942944017170453,0.0,0.0,0.0008942944017170453,2.6824034334763954e-05
4,aayn,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.6824034334763954e-05
5,socketpair,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.6824034334763954e-05
6,samcurteis,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.6824034334763954e-05
7,pras529,0.0,1,0.3616341030195382,0.9166666666666666,0.0016097299230906814,0.0,0.0,0.0016097299230906814,2.6824034334763954e-05
8,NReilingh,0.0,1,0.3511555708865126,0.9,0.0008942944017170453,0.0,0.0,0.0008942944017170453,2.6824034334763954e-05
9,CharlesWall,0.0,1,0.3658886894075404,0.7777777777777778,0.0016097299230906814,0.0,0.0,0.0016097299230906814,2.6824034334763954e-05
10,alexeykuzmin,0.0,1,0.3548274660160335,0.9,0.0008942944017170453,0.0,0.0,0.0008942944017170453,2.6824034334763954e-05
11,deanm,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.6824034334763954e-05
12,Eusgor,0.0,1,0.3587033121916843,1.0,0.0007154355213736362,0.0,0.0,0.0007154355213736362,2.6824034334763954e-05
13,octaviansoldea,0.0,1,0.3870722433460076,1.0,0.0019674476837774997,0.0,0.0,0.0019674476837774997,2.6824034334763954e-05
14,lxdicted,0.0,1,0.37018181818181817,1.0,0.0008942944017170453,0.0,0.0,0.0008942944017170453,2.6824034334763954e-05
15,mightyiam,0.0,1,0.3574438202247191,1.0,0.0008942944017170453,0.0,0.0,0.0008942944017170453,2.6824034334763954e-05
16,yselkowitz,0.0,1,0.0,0.0,0.00017885888034340904,0.0014154905249758659,0.00017885888034340904,0.0,5.0964062989093645e-05
17,furnox,0.0,1,0.3763401109057301,1.0,0.0012520121624038634,0.0,0.0,0.0012520121624038634,2.6824034334763954e-05
18,MuriloKakazu,0.0,1,0.345189701897019,0.5,0.0007154355213736362,0.0,0.0,0.0007154355213736362,2.6824034334763954e-05
19,lukechilds,0.0,1,0.3523710626514365,1.0,0.0005365766410302271,0.0,0.0,0.0005365766410302271,2.6824034334763954e-05
20,decareano,0.0,1,0.3809880239520958,1.0,0.0014308710427472723,0.0,0.0,0.0014308710427472723,2.6824034334763954e-05
21,olalonde,0.0,1,0.3681735985533454,0.9285714285714286,0.0014308710427472723,0.0,0.0,0.0014308710427472723,2.6824034334763954e-05
22,tsabolov,0.0,1,0.3832831325301205,1.0,0.0017885888034340906,0.0,0.0,0.0017885888034340906,2.6824034334763954e-05
23,StenCalDabran,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.6824034334763954e-05
24,stefanjudis,0.0,1,0.3413816230717639,1.0,0.0003577177606868181,0.0,0.0,0.0003577177606868181,2.6824034334763954e-05
25,jdharmon,0.0,1,0.3507925568573398,1.0,0.0003577177606868181,0.0,0.0,0.0003577177606868181,2.6824034334763954e-05
26,TonyRice,0.0,1,0.34001336005344024,1.0,0.0005365766410302271,0.0,0.0,0.0005365766410302271,2.6824034334763954e-05
27,atvoicu,0.0,1,0.3578207381370826,1.0,0.0007154355213736362,0.0,0.0,0.0007154355213736362,2.6824034334763954e-05
28,emmanuel-ferdman,0.0,1,0.34791524265208473,0.8666666666666667,0.0010731532820604543,0.0,0.0,0.0010731532820604543,2.6824034334763954e-05
29,jinkwon,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.6824034334763954e-05
30,MatteoBax,0.0,1,0.35298196948682387,1.0,0.0008942944017170453,0.0,0.0,0.0008942944017170453,2.6824034334763954e-05
31,zdebyman,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.6824034334763954e-05
32,NishaGadave,0.0,1,0.3410385259631491,0.0,0.00017885888034340904,0.0,0.0,0.00017885888034340904,2.6824034334763954e-05
33,amilshahsahab,0.0,1,0.0,0.0,0.00017885888034340904,0.0005015273062026273,0.00017885888034340904,0.0,4.846517906487167e-05
34,sdbedi,0.0,1,0.3141005862388152,1.0,0.0003577177606868181,0.0,0.0,0.0003577177606868181,2.6824034334763954e-05
