Id,Label,betweenness_centrality,bridging_node,closeness_centrality,clustering_coefficient,degree_centrality,eigenvector_centrality,in_degree_centrality,out_degree_centrality,pagerank
0,arguiot,0.0,1,0.0817600503425798,0.7142857142857143,0.00044057715607445755,0.008740454324295682,0.00044057715607445755,0.0,6.353399652519403e-05
1,slendertaker,0.0,0,0.07423982959324622,1.0,0.00016521643352792158,0.002889223314613201,0.00016521643352792158,0.0,3.791453549211293e-05
2,simon-tannai,0.0,0,0.07612495915355487,0,5.5072144509307194e-05,0.0017328372223124786,5.5072144509307194e-05,0.0,3.270027565828593e-05
3,ludofischer,0.0,0,0.0,0,5.5072144509307194e-05,9.584413412645896e-19,0.0,5.5072144509307194e-05,3.152552727877344e-05
4,crunchtime-ali,0.0,0,0.07615319701335294,0,0.00011014428901861439,0.0017328372223124873,0.00011014428901861439,0.0,4.6239090000890206e-05
5,abderrahimbozakri,0.0,0,0.0,0,0.0,9.584413412645896e-19,0.0,0.0,3.152552727877344e-05
6,oxygen,0.0,1,0.0,0,0.00027536072254653594,9.584413412645896e-19,0.0,0.00027536072254653594,3.152552727877344e-05
7,itachi47,0.0,0,0.0718415679500933,0,5.5072144509307194e-05,0.0009396748238684479,5.5072144509307194e-05,0.0,3.9215668662720154e-05
8,adriancuadrado,0.0,0,0.07224628384365292,1.0,0.00011014428901861439,0.0016898604198588175,0.00011014428901861439,0.0,3.384905141398026e-05
9,kojiGit55,0.0,1,0.07676798341777179,1.0,0.00016521643352792158,0.0034559802226821245,0.00016521643352792158,0.0,4.040715036225859e-05
10,saivanji,0.0,1,0.07812417968635434,1.0,0.00011014428901861439,0.003569323659635479,0.00011014428901861439,0.0,3.412840766473028e-05
11,12214053332,0.0,0,0.07612495915355487,0,5.5072144509307194e-05,0.0017328372223124786,5.5072144509307194e-05,0.0,3.270027565828593e-05
12,derek-findthebrink,0.0,0,0.07354445206360385,0,5.5072144509307194e-05,0.001398214500492258,5.5072144509307194e-05,0.0,3.2913282190882974e-05
13,kevinohara80,0.0,1,0.07901736363977538,1.0,0.00022028857803722878,0.005475141965909258,0.00022028857803722878,0.0,4.652692068129459e-05
14,thedracle,0.0,0,0.0,0,5.5072144509307194e-05,9.584413412645896e-19,0.0,5.5072144509307194e-05,3.152552727877344e-05
15,idanalkhalid,0.0,0,0.0,0,0.0,9.584413412645896e-19,0.0,0.0,3.152552727877344e-05
16,silentroach,7.384679695300199e-05,1,0.08015719066235087,0.5,0.00033043286705584316,0.004911127951386674,0.00022028857803722878,0.00011014428901861439,0.00014466777998384554
