Id,Label,betweenness_centrality,bridging_node,closeness_centrality,clustering_coefficient,degree_centrality,eigenvector_centrality,in_degree_centrality,out_degree_centrality,pagerank
0,larsch,5.450492326534093e-06,1,0.1684384187373665,0.0017414039323522686,0.0005416237881167741,6.863013795396567e-05,0.00027081189405838704,0.00027081189405838704,2.9646458759045882e-05
1,immjs,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
2,sjlehn,0.0,0,0.15170064639683978,0.003988162059330254,0.00037913665168174185,1.6995773017991414e-05,0.00010832475762335481,0.00027081189405838704,1.971754668114518e-05
3,orta,0.0,1,0.1422193559970373,0.001290987253104348,0.00037913665168174185,2.053494390275612e-05,5.416237881167741e-05,0.00032497427287006444,1.862599887383498e-05
4,tebeka,0.0,0,0.14548358750424126,0,5.416237881167741e-05,1.4103865094491541e-05,5.416237881167741e-05,0.0,1.898629216072092e-05
5,eyalsach,0.0,0,0.14874081654617288,0.0028617668381254496,0.00016248713643503222,2.6862642956860107e-05,0.00010832475762335481,5.416237881167741e-05,2.0770634063187073e-05
6,stenalpjolly,7.631686435221283e-06,1,0.15131315259715772,0.0012701711653800233,0.0005416237881167741,3.2568898846875555e-05,0.00021664951524670963,0.00032497427287006444,2.1351063364925868e-05
7,crazywako,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
8,mamatha-jv,0.0,1,0.14072942310911413,0.00045290375570853893,0.00016248713643503222,1.5862646710445114e-06,5.416237881167741e-05,0.00010832475762335481,1.8583597153602955e-05
9,icodeforlove,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
10,tjwebb,2.1699130023025144e-07,1,0.15875184066306666,0.0013666342857099603,0.00032497427287006444,6.140705782962941e-05,0.00021664951524670963,0.00010832475762335481,2.244150636743843e-05
11,wasitmirani,0.0,0,0.12992071344196154,0,0.00010832475762335481,2.731037562665108e-07,0.00010832475762335481,0.0,1.9796703264258824e-05
12,hhorak,0.0,1,0.1455656161077475,0.0005392049236890621,0.00010832475762335481,7.1850233226366456e-06,0.00010832475762335481,0.0,1.903604632328183e-05
13,martinmckenna,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
14,negatratoron,5.9471690416736515e-06,0,0.16906098049839635,0.0014333914192605425,0.0005416237881167741,5.905154574218793e-05,0.00027081189405838704,0.00027081189405838704,2.4535697204986196e-05
15,h1z1,2.5376696821634143e-08,0,0.1355404875158561,0,0.00016248713643503222,2.242022770050996e-06,5.416237881167741e-05,0.00010832475762335481,1.8225112461798774e-05
16,jackfromeast,0.0,0,0.0,0,0.0,4.294358337092288e-47,0.0,0.0,1.7859914401366047e-05
17,cola119,0.000937712382080921,1,0.18660965694963455,0.0006651321789952827,0.00855765585224503,0.008493877529050231,0.0038996912744407733,0.004657964577804257,0.0004025618592685807
18,RobinTail,0.0,0,0.14788837466508933,0.0008043458079673944,0.00021664951524670963,4.981093459515947e-05,0.00021664951524670963,0.0,3.9133351535252296e-05
19,wietsevenema,0.0,1,0.1617361649437259,0.0010830739975870873,0.0005957861669284515,5.89088698386732e-05,0.00021664951524670963,0.00037913665168174185,2.5199773387586178e-05
20,mihan007,1.8549310725496482e-06,1,0.17283729837722883,0.001986977133827858,0.0009207604397985159,0.00044272886988737105,0.00048746140930509667,0.00043329903049341926,3.7143492067909294e-05
21,almansourcisse743-ops,0.0,0,0.0,0,0.0,4.294358337092288e-47,0.0,0.0,1.7859914401366047e-05
22,pedrottimark,0.0,0,0.15189194607703757,0,0.00010832475762335481,2.3602168564905874e-05,5.416237881167741e-05,5.416237881167741e-05,1.8546589652765466e-05
23,isavegas,0.0,0,0.14360500011742103,0.0003227509118254498,0.00043329903049341926,6.745232095585203e-06,0.00043329903049341926,0.0,3.118029148657358e-05
24,TonySpegel,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
25,MartiniHenry1988,0.0,0,0.14548358750424126,0,5.416237881167741e-05,2.115579764173731e-05,5.416237881167741e-05,0.0,1.9549481040398357e-05
26,damien-git,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
27,wayofthefuture,0.0,0,0.14665811912710436,0.000609519302447976,0.00010832475762335481,1.1321394035970758e-05,5.416237881167741e-05,5.416237881167741e-05,1.8760804343383195e-05
28,holm,4.347503612013898e-05,0,0.15454896698912465,0.0018728898621090684,0.00021664951524670963,3.965890811223535e-05,0.00010832475762335481,0.00010832475762335481,2.028935832907715e-05
29,lspiehler,0.0,0,0.0,0,0.0,4.294358337092288e-47,0.0,0.0,1.7859914401366047e-05
30,zalupoi,0.0,1,0.14777352164572957,0.0004084423497625604,0.00027081189405838704,2.219705313772015e-05,0.00027081189405838704,0.0,3.616857918541163e-05
31,king350023,0.0,0,5.416237881167741e-05,0,5.416237881167741e-05,1.760686918207838e-45,5.416237881167741e-05,0.0,3.336676946547641e-05
32,dmitriym09,0.0,1,0.15002278930949212,0.00028311661361882413,0.00037913665168174185,3.5139080692085036e-05,0.00037913665168174185,0.0,6.998245300228394e-05
33,mustafafatal,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
34,loyd,0.0,0,0.14116373924418796,0.001522651288338993,0.00021664951524670963,5.067445260318589e-06,0.00010832475762335481,0.00010832475762335481,2.1401312582251516e-05
35,cornopaez,0.0,1,0.15332771594431638,0.0007127196788179618,0.00027081189405838704,2.56828808976809e-05,0.00027081189405838704,0.0,2.221207078983436e-05
36,ffflorian,0.0,0,0.14548358750424126,0,5.416237881167741e-05,7.051932547245771e-06,5.416237881167741e-05,0.0,1.8423103281043483e-05
37,Prateek462003,5.670314582930577e-05,0,0.1523209289370115,0.0006094715181444106,0.00048746140930509667,4.178802432506097e-05,0.00016248713643503222,0.00032497427287006444,1.999954911637421e-05
38,hhsprings,0.0,1,0.15881862413021225,0.0027024765575349714,0.00016248713643503222,9.184331756145952e-05,0.00016248713643503222,0.0,2.137043184512056e-05
39,elyran,0.0,1,0.1520889647782609,0.0012091305839972055,0.00016248713643503222,1.5306001088623846e-05,0.00016248713643503222,0.0,2.161743710324916e-05
40,derolf,1.696400585438059e-06,1,0.1508700692054669,0.0006214402873177829,0.00016248713643503222,2.0568530084141973e-05,0.00010832475762335481,5.416237881167741e-05,1.9209697835371836e-05
41,Jzarecta,0.0,0,0.15103398303269275,0.0015070483911372998,0.00010832475762335481,2.0889669845405495e-05,0.00010832475762335481,0.0,1.9535128948608263e-05
42,eyalroth,0.0,0,0.15379092196218916,0.0027022952021516617,0.00021664951524670963,7.397314652873816e-05,0.00021664951524670963,0.0,2.4740544690409703e-05
43,agracia-foticos,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
44,ajays97,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
45,chuyaguo2014,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
46,andreubotella,2.0908349020537016e-06,1,0.15603719652701975,0.0016156862690473856,0.00037913665168174185,0.00020335302126427756,0.00016248713643503222,0.00021664951524670963,2.2127761250200565e-05
47,Fryuni,0.0,0,0.14570645198562324,0.000427967231545225,0.00010832475762335481,1.5679790578593523e-05,0.00010832475762335481,0.0,2.1061253332369615e-05
48,cyco130,0.0,1,0.1337666216809118,0,0.00027081189405838704,1.1368581142052498e-06,0.00027081189405838704,0.0,6.924105932686364e-05
49,didmehh,0.0,0,0.0,0,0.0,4.294358337092288e-47,0.0,0.0,1.7859914401366047e-05
50,yemanett,0.0,0,0.15348551149695128,0,0.00010832475762335481,0.00015560840564577284,5.416237881167741e-05,5.416237881167741e-05,2.8518371900514196e-05
