Id,Label,betweenness_centrality,bridging_node,closeness_centrality,clustering_coefficient,degree_centrality,eigenvector_centrality,in_degree_centrality,out_degree_centrality,pagerank
0,davidguttman,0.0,1,0.0,1.0,0.0005365766410302271,5.72652705005741e-17,0.0,0.0005365766410302271,4.65729162626058e-05
1,al-k21,0.0,1,0.0,0.8461538461538461,0.0023251654444643175,5.72652705005741e-17,0.0,0.0023251654444643175,4.65729162626058e-05
2,dingbx,0.0,1,0.0,0.8333333333333334,0.0007154355213736362,5.72652705005741e-17,0.0,0.0007154355213736362,4.65729162626058e-05
3,mcpiroman,0.0,1,0.0,0.6,0.0008942944017170452,5.72652705005741e-17,0.0,0.0008942944017170452,4.65729162626058e-05
4,aayn,0.0,0,0.0,0,0.0,5.72652705005741e-17,0.0,0.0,4.65729162626058e-05
5,socketpair,0.0,0,0.0,0,0.0,5.72652705005741e-17,0.0,0.0,4.65729162626058e-05
6,samcurteis,0.0,0,0.0,0,0.0,5.72652705005741e-17,0.0,0.0,4.65729162626058e-05
7,pras529,0.0,1,0.0,0.9166666666666666,0.0016097299230906814,5.72652705005741e-17,0.0,0.0016097299230906814,4.65729162626058e-05
8,NReilingh,0.0,1,0.0,0.9,0.0008942944017170452,5.72652705005741e-17,0.0,0.0008942944017170452,4.65729162626058e-05
9,CharlesWall,0.0,1,0.0,0.7777777777777778,0.0016097299230906814,5.72652705005741e-17,0.0,0.0016097299230906814,4.65729162626058e-05
10,alexeykuzmin,0.0,1,0.0,0.9,0.0008942944017170452,5.72652705005741e-17,0.0,0.0008942944017170452,4.65729162626058e-05
11,deanm,0.0,0,0.0,0,0.0,5.72652705005741e-17,0.0,0.0,4.65729162626058e-05
12,Eusgor,0.0,1,0.0,1.0,0.0007154355213736362,5.72652705005741e-17,0.0,0.0007154355213736362,4.65729162626058e-05
13,octaviansoldea,0.0,1,0.0,1.0,0.0019674476837774992,5.72652705005741e-17,0.0,0.0019674476837774992,4.65729162626058e-05
14,lxdicted,0.0,1,0.0,1.0,0.0008942944017170452,5.72652705005741e-17,0.0,0.0008942944017170452,4.65729162626058e-05
15,mightyiam,0.0,1,0.0,1.0,0.0008942944017170452,5.72652705005741e-17,0.0,0.0008942944017170452,4.65729162626058e-05
16,yselkowitz,0.0,0,0.22464804149526024,0,0.00017885888034340904,0.001415437030583913,0.00017885888034340904,0.0,8.792410031240407e-05
17,furnox,0.0,1,0.0,1.0,0.0012520121624038632,5.72652705005741e-17,0.0,0.0012520121624038632,4.65729162626058e-05
18,MuriloKakazu,0.0,1,0.0,0.5,0.0007154355213736362,5.72652705005741e-17,0.0,0.0007154355213736362,4.65729162626058e-05
19,lukechilds,0.0,1,0.0,1.0,0.0005365766410302271,5.72652705005741e-17,0.0,0.0005365766410302271,4.65729162626058e-05
20,decareano,0.0,1,0.0,1.0,0.0014308710427472723,5.72652705005741e-17,0.0,0.0014308710427472723,4.65729162626058e-05
21,olalonde,0.0,1,0.0,0.9285714285714286,0.0014308710427472723,5.72652705005741e-17,0.0,0.0014308710427472723,4.65729162626058e-05
22,tsabolov,0.0,1,0.0,1.0,0.0017885888034340903,5.72652705005741e-17,0.0,0.0017885888034340903,4.65729162626058e-05
23,StenCalDabran,0.0,0,0.0,0,0.0,5.72652705005741e-17,0.0,0.0,4.65729162626058e-05
24,stefanjudis,0.0,1,0.0,1.0,0.0003577177606868181,5.72652705005741e-17,0.0,0.0003577177606868181,4.65729162626058e-05
25,jdharmon,0.0,1,0.0,1.0,0.0003577177606868181,5.72652705005741e-17,0.0,0.0003577177606868181,4.65729162626058e-05
26,TonyRice,0.0,0,0.0,1.0,0.0005365766410302271,5.72652705005741e-17,0.0,0.0005365766410302271,4.65729162626058e-05
