Source,Target,Weight,Type
1,0,1,Directed
1,5,1,Directed
1,14,1,Directed
1,19,1,Directed
1,41,1,Directed
1,50,1,Directed
1,53,1,Directed
1,62,1,Directed
1,2,1,Directed
1,75,1,Directed
1,84,1,Directed
1,94,1,Directed
1,54,1,Directed
1,98,1,Directed
1,105,1,Directed
1,117,1,Directed
1,110,1,Directed
1,130,1,Directed
1,134,1,Directed
1,136,1,Directed
1,137,1,Directed
1,140,1,Directed
1,141,1,Directed
1,143,1,Directed
1,145,1,Directed
1,150,1,Directed
1,173,1,Directed
1,176,1,Directed
1,195,1,Directed
1,100,1,Directed
1,214,1,Directed
1,207,1,Directed
1,218,1,Directed
1,225,1,Directed
1,227,1,Directed
1,183,1,Directed
1,238,1,Directed
1,258,1,Directed
1,16,1,Directed
1,264,1,Directed
1,267,1,Directed
1,6,1,Directed
1,275,1,Directed
1,283,1,Directed
1,286,1,Directed
1,290,1,Directed
1,292,1,Directed
1,87,1,Directed
1,135,1,Directed
1,308,1,Directed
1,314,1,Directed
1,194,1,Directed
1,315,1,Directed
1,323,1,Directed
1,159,1,Directed
1,4,1,Directed
1,336,1,Directed
1,344,1,Directed
1,196,1,Directed
1,349,1,Directed
1,354,1,Directed
1,359,1,Directed
1,364,1,Directed
1,367,1,Directed
1,370,1,Directed
1,376,1,Directed
1,390,1,Directed
1,392,1,Directed
1,74,1,Directed
1,394,1,Directed
1,331,1,Directed
1,131,1,Directed
1,401,1,Directed
1,402,1,Directed
1,46,1,Directed
1,412,1,Directed
1,414,1,Directed
1,419,1,Directed
1,430,1,Directed
1,66,1,Directed
1,104,1,Directed
1,442,1,Directed
1,443,1,Directed
1,447,1,Directed
1,458,1,Directed
1,47,1,Directed
1,467,1,Directed
1,480,1,Directed
1,483,1,Directed
1,492,1,Directed
1,391,1,Directed
1,500,1,Directed
1,504,1,Directed
1,505,1,Directed
1,82,1,Directed
1,83,1,Directed
1,463,1,Directed
1,497,1,Directed
1,395,1,Directed
1,67,1,Directed
1,546,1,Directed
1,555,1,Directed
1,566,1,Directed
1,570,1,Directed
1,576,1,Directed
1,579,1,Directed
1,583,1,Directed
1,585,1,Directed
1,592,1,Directed
1,596,1,Directed
1,598,1,Directed
1,600,1,Directed
1,603,1,Directed
1,606,1,Directed
1,488,1,Directed
1,610,1,Directed
1,611,1,Directed
1,625,1,Directed
1,636,1,Directed
1,638,1,Directed
1,640,1,Directed
1,645,1,Directed
1,125,1,Directed
1,661,1,Directed
1,599,1,Directed
1,601,1,Directed
1,671,1,Directed
1,679,1,Directed
1,386,1,Directed
1,438,1,Directed
1,688,1,Directed
1,694,1,Directed
1,698,1,Directed
1,704,1,Directed
1,705,1,Directed
1,714,1,Directed
1,720,1,Directed
1,726,1,Directed
1,728,1,Directed
1,732,1,Directed
1,733,1,Directed
1,737,1,Directed
1,741,1,Directed
