Id,Label,Weight
0,javajosh,1.0
1,bnoordhuis,1.0
2,jonathanong,1.0
3,mikeal,1.0
4,brendanashworth,1.0
5,rvagg,1.0
6,indutny,1.0
7,rdner,1.0
8,Fishrock123,1.0
9,defunctzombie,1.0
10,MauriceButler,1.0
11,therebelrobot,1.0
12,chrisdickinson,1.0
13,maraca,1.0
14,kenperkins,1.0
15,bevacqua,1.0
16,smikes,1.0
17,jondavidjohn,1.0
18,wraithan,1.0
19,ankurp,1.0
20,cjihrig,1.0
21,adamstac,1.0
22,missinglink,1.0
23,Qard,1.0
24,jmonster,1.0
25,kumavis,1.0
26,Swaagie,1.0
27,corbin-r,1.0
28,rumkin,1.0
29,cdnsteve,1.0
30,joshhartigan,1.0
31,chhantyal,1.0
32,Manimalini,1.0
33,imjacobclark,1.0
34,atomantic,1.0
35,marcnicholas,1.0
36,cscott,1.0
37,rektide,1.0
38,raitucarp,1.0
39,gergoerdosi,1.0
40,srijs,1.0
41,ghostbar,1.0
42,CodisRedding,1.0
43,benjamingr,1.0
44,gladys123,1.0
45,evanlucas,1.0
46,feross,1.0
47,trevnorris,1.0
48,rabbiabram,1.0
49,piscisaureus,1.0
50,mathiasbynens,1.0
51,lzantal,1.0
52,IngwiePhoenix,1.0
53,andrewrk,1.0
54,jbergstroem,1.0
55,micnic,1.0
56,zeusdeux,1.0
57,greelgorke,1.0
58,stanier,1.0
59,srcspider,1.0
60,fundon,1.0
61,argon,1.0
62,letiennam29,1.0
63,spion,1.0
64,andrewdeandrade,1.0
65,manvalls,1.0
66,domenic,1.0
67,isaacs,1.0
68,YurySolovyov,1.0
69,seishun,1.0
70,iankronquist,1.0
71,geek,1.0
72,formula1,1.0
73,bjouhier,1.0
74,19h,1.0
75,RobiFerentz,1.0
76,zhentao-huang,1.0
77,rainder,1.0
78,ghostoy,1.0
79,xjamundx,1.0
80,dashed,1.0
81,guss77,1.0
82,silverwind,1.0
83,srl295,1.0
84,yejingfu,1.0
85,perguth,1.0
86,ruimarinho,1.0
87,JacksonTian,1.0
88,timoxley,1.0
89,vkurchatkin,1.0
90,Trott,1.0
91,iarna,1.0
92,Cydox,1.0
93,jmcbee,1.0
94,corbinu,1.0
95,smockle,1.0
96,ivan,1.0
97,jfroffice,1.0
98,entertainyou,1.0
99,julianduque,1.0
100,jhermsmeier,1.0
101,dougwilson,1.0
102,Daniel15,1.0
103,wavded,1.0
104,ljharb,1.0
105,hemanth,1.0
106,jinkwon,1.0
107,iccir,1.0
108,osdio,1.0
109,vsemozhetbyt,1.0
110,jorangreef,1.0
111,wildtron,1.0
112,desenmeng,1.0
113,shinnn,1.0
114,ckaatz-here,1.0
115,olov,1.0
116,ruby186,1.0
117,RyanK1m,1.0
118,alexwoehr,1.0
119,hano,1.0
120,mmarcon,1.0
121,ataraxus,1.0
122,MattMS,1.0
123,jasnell,1.0
124,btd,1.0
125,Pana,1.0
126,DustinLS,1.0
127,moreofmorris,1.0
128,aravindet,1.0
129,nicks,1.0
130,sepmein,1.0
131,RubenVerborgh,1.0
132,ryanseys,1.0
133,thecaddy,1.0
134,kasperekt,1.0
135,ysmood,1.0
136,mgenev,1.0
137,donpdonp,1.0
138,manor,1.0
139,Raynos,1.0
140,timkuijsten,1.0
141,dbkaplun,1.0
142,caninojories,1.0
143,themasch,1.0
144,GGICE,1.0
145,mrhyde,1.0
146,ifraixedes,1.0
147,Anachron,1.0
148,avivkeller,1.0
149,pesho,1.0
150,megastef,1.0
151,stephen-bartell,1.0
152,renambot-uic,1.0
153,thlorenz,1.0
154,eu81273,1.0
155,No9,1.0
156,sdellysse,1.0
157,sufianrhazi,1.0
158,fuson,1.0
159,piranna,1.0
160,speedneeder,1.0
161,kyrylkov,1.0
162,suki-on-git,1.0
163,italoacasas,1.0
164,zenoamaro,1.0
165,github-actions,1.0
166,ryanpcmcquen,1.0
167,jesstelford,1.0
168,karlbohlmark,1.0
169,pocesar,1.0
170,krnlde,1.0
171,Mickael-van-der-Beek,1.0
172,rootslab,1.0
173,yosuke-furukawa,1.0
174,loveencounterflow,1.0
175,kuseni,1.0
176,DutchKevv,1.0
177,kyriosli,1.0
178,mgol,1.0
179,vinz243,1.0
180,knownasilya,1.0
181,AlinaNova21,1.0
182,VaJoy,1.0
183,targos,1.0
184,ThisIsMissEm,1.0
185,xdenser,1.0
186,aleeksunder,1.0
187,ryzokuken,1.0
188,sonicoder86,1.0
189,tgarbiak,1.0
190,DestructionOfPlanetJupiter,1.0
191,davidmarkclements,1.0
192,Mrluobo,1.0
193,hail2u,1.0
194,shigeki,1.0
195,mscdex,1.0
196,thefourtheye,1.0
197,webuniverseio,1.0
198,mathiask88,1.0
199,junosuarez,1.0
200,caitp,1.0
201,petkaantonov,1.0
202,sevastos,1.0
203,kevinmartin,1.0
204,jaggedsoft,1.0
205,q2dg,1.0
206,kevteljeur,1.0
207,GlenTiki,1.0
208,dionridley,1.0
209,cperryk,1.0
210,AndreasMadsen,1.0
211,cookiengineer,1.0
212,xionglun,1.0
213,lozandier,1.0
214,hoho,1.0
215,Bigous,1.0
216,soliton4,1.0
217,Serpardum,1.0
218,jsha,1.0
219,coolaj86,1.0
220,hacksparrow,1.0
221,tellnes,1.0
222,kobalicek,1.0
223,bajtos,1.0
224,remixz,1.0
225,GerhardRi,1.0
226,3rd-Eden,1.0
227,smfoote,1.0
228,bpasero,1.0
229,matthewrankin,1.0
230,kkoopa,1.0
231,dominicbarnes,1.0
232,greim,1.0
233,maloks,1.0
234,dylanb,1.0
235,paleolitico,1.0
236,mcollina,1.0
237,bitinn,1.0
238,3y3,1.0
239,kaero,1.0
240,jshkurti,1.0
241,AlexFrazer,1.0
242,allthetime,1.0
243,stefanpenner,1.0
244,sintaxi,1.0
245,kypse,1.0
246,tciuro,1.0
247,edef1c,1.0
248,frankrousseau,1.0
249,fhemberger,1.0
250,markstos,1.0
251,vitaly-t,1.0
252,addaleax,1.0
253,oskwazir,1.0
254,ineeee,1.0
255,am11,1.0
256,robey,1.0
257,aneesh-neelam,1.0
258,sam-github,1.0
259,particle4dev,1.0
260,unbornchikken,1.0
261,user447463,1.0
262,dschere,1.0
263,metabench,1.0
264,Sebmaster,1.0
265,radare,1.0
266,BLeQuerrec,1.0
267,Legiew,1.0
268,refack,1.0
269,Kvarkas,1.0
270,sparseinference,1.0
271,mcandre,1.0
272,cedced19,1.0
273,Cangit,1.0
274,Dexus,1.0
275,calvinmetcalf,1.0
276,bilalq,1.0
277,fixe,1.0
278,Sembiance,1.0
279,rzcoder,1.0
280,matylla,1.0
281,RB14,1.0
282,kevinSuttle,1.0
283,sergenikitin,1.0
284,corporatepiyush,1.0
285,leofiore,1.0
286,JCMais,1.0
287,Shin1gami,1.0
288,storzinc,1.0
289,Havvy,1.0
290,ChALkeR,1.0
291,techjeffharris,1.0
292,jdub,1.0
293,hairyhenderson,1.0
294,denji,1.0
295,dmail,1.0
296,laino,1.0
297,Zhigalov,1.0
298,jokeyrhyme,1.0
299,qfox,1.0
300,aredridel,1.0
301,0x4139,1.0
302,mortie,1.0
303,Mtinkering,1.0
304,xibre,1.0
305,ZloyDyadka,1.0
306,Tineler,1.0
307,skenqbx,1.0
308,brycebaril,1.0
309,jameshartig,1.0
310,wolfie82,1.0
311,joeybaker,1.0
312,DullReferenceException,1.0
313,luffylu,1.0
314,Olegas,1.0
315,ofrobots,1.0
316,astoilkov,1.0
317,edwardsmarkf,1.0
318,smcmurray,1.0
319,petersirka,1.0
320,ezequiel,1.0
321,Nibbler999,1.0
322,dpatti,1.0
323,heavyk,1.0
324,gtarcea,1.0
325,scottnonnenberg,1.0
326,alanpurple,1.0
327,justinmchase,1.0
328,darren,1.0
329,yorkie,1.0
330,iliakan,1.0
331,chapgaga,1.0
332,medikoo,1.0
333,abrkn,1.0
334,pflannery,1.0
335,michaeljs1990,1.0
336,liyingzh,1.0
337,vvo,1.0
338,dougalcampbell,1.0
339,not-implemented,1.0
340,bricss,1.0
341,govpack,1.0
342,gcochard,1.0
343,imyller,1.0
344,czechboy0,1.0
345,buschtoens,1.0
346,jhludwig,1.0
347,a8m,1.0
348,TimothyGu,1.0
349,hirokith,1.0
350,juliangruber,1.0
351,tberthe,1.0
352,alex93ushalov,1.0
353,floatdrop,1.0
354,gromnitsky,1.0
355,yx1994,1.0
356,adriangrigore,1.0
357,rlidwka,1.0
358,Gioyik,1.0
359,EasyHard,1.0
360,vindicatorr,1.0
361,tracker1,1.0
362,stevenvachon,1.0
363,dfmarulanda,1.0
364,markoly,1.0
365,arv,1.0
366,isavegas,1.0
367,jeisinger,1.0
368,orangemocha,1.0
369,ThomasGreiner,1.0
370,lygstate,1.0
371,tolmasky,1.0
372,sitegui,1.0
373,mattcollier,1.0
374,hellboy81,1.0
375,coderaiser,1.0
376,alexlamsl,1.0
377,jjmiyao,1.0
378,kolodny,1.0
379,glentakahashi,1.0
380,dumpsters,1.0
381,gopat,1.0
382,segrey,1.0
383,ccheever,1.0
384,cnotch,1.0
385,hefangshi,1.0
386,monsanto,1.0
387,timruffles,1.0
388,affinity-matrix,1.0
389,yanovich,1.0
390,rmg,1.0
391,binarykitchen,1.0
392,santigimeno,1.0
393,laukaichung,1.0
394,Gottox,1.0
395,saper,1.0
396,calzoneman,1.0
397,johnthedebs,1.0
398,garthk,1.0
399,fspoettel,1.0
400,th507,1.0
401,multimeric,1.0
402,zj8487,1.0
403,freehuntx,1.0
404,akaRem,1.0
405,develar,1.0
406,LavrovArtem,1.0
