Source,Target,Weight,Type
0,3190,1.0,Directed
0,3993,1.0,Directed
1,4429,1.0,Directed
2,5405,1.0,Directed
3,3832,1.0,Directed
4,3190,1.0,Directed
4,7305,1.0,Directed
5,4429,1.0,Directed
6,109,1.0,Directed
6,203,1.0,Directed
6,3326,1.0,Directed
6,4429,1.0,Directed
7,7180,1.0,Directed
8,4429,1.0,Directed
9,4429,1.0,Directed
10,3832,1.0,Directed
12,6252,1.0,Directed
13,3509,1.0,Directed
13,6998,1.0,Directed
16,4270,1.0,Directed
18,3509,1.0,Directed
19,7180,1.0,Directed
21,4429,1.0,Directed
22,2702,1.0,Directed
23,4623,1.0,Directed
26,3071,1.0,Directed
26,3993,1.0,Directed
26,8654,1.0,Directed
27,100,1.0,Directed
27,109,1.0,Directed
27,1270,1.0,Directed
27,1816,1.0,Directed
27,3022,1.0,Directed
27,3190,1.0,Directed
27,3509,1.0,Directed
27,3832,1.0,Directed
27,4429,1.0,Directed
27,4619,1.0,Directed
27,4713,1.0,Directed
27,5804,1.0,Directed
27,6223,1.0,Directed
27,6998,1.0,Directed
27,7584,1.0,Directed
27,7778,1.0,Directed
27,7949,1.0,Directed
27,8654,1.0,Directed
27,9381,1.0,Directed
28,3022,1.0,Directed
29,203,1.0,Directed
29,2702,1.0,Directed
29,3373,1.0,Directed
29,3993,1.0,Directed
29,7305,1.0,Directed
29,7949,1.0,Directed
30,3190,1.0,Directed
31,7180,1.0,Directed
32,3190,1.0,Directed
33,4429,1.0,Directed
34,3053,1.0,Directed
35,4429,1.0,Directed
35,7949,1.0,Directed
35,8209,1.0,Directed
36,1978,1.0,Directed
36,3022,1.0,Directed
37,203,1.0,Directed
39,7180,1.0,Directed
40,341,1.0,Directed
44,3373,1.0,Directed
46,6252,1.0,Directed
48,3190,1.0,Directed
50,4429,1.0,Directed
51,3993,1.0,Directed
52,4429,1.0,Directed
54,3373,1.0,Directed
55,1978,1.0,Directed
55,3509,1.0,Directed
56,3326,1.0,Directed
57,3022,1.0,Directed
59,3190,1.0,Directed
60,1076,1.0,Directed
60,3326,1.0,Directed
60,3509,1.0,Directed
60,4077,1.0,Directed
60,4429,1.0,Directed
60,5130,1.0,Directed
60,7103,1.0,Directed
60,7305,1.0,Directed
60,7963,1.0,Directed
60,9381,1.0,Directed
61,4429,1.0,Directed
61,8433,1.0,Directed
62,4270,1.0,Directed
62,4429,1.0,Directed
63,3509,1.0,Directed
63,8654,1.0,Directed
64,6998,1.0,Directed
65,4429,1.0,Directed
66,27,1.0,Directed
67,3053,1.0,Directed
67,4429,1.0,Directed
67,6998,1.0,Directed
69,3373,1.0,Directed
70,8663,1.0,Directed
70,9572,1.0,Directed
71,4429,1.0,Directed
72,8209,1.0,Directed
75,3832,1.0,Directed
76,7305,1.0,Directed
80,3509,1.0,Directed
81,4270,1.0,Directed
82,4429,1.0,Directed
83,3509,1.0,Directed
86,3190,1.0,Directed
87,109,1.0,Directed
87,4429,1.0,Directed
88,575,1.0,Directed
89,6998,1.0,Directed
90,7180,1.0,Directed
91,6998,1.0,Directed
92,4429,1.0,Directed
93,1270,1.0,Directed
95,3190,1.0,Directed
95,3681,1.0,Directed
95,4713,1.0,Directed
97,8904,1.0,Directed
99,3993,1.0,Directed
99,7180,1.0,Directed
100,27,1.0,Directed
100,109,1.0,Directed
100,369,1.0,Directed
100,1076,1.0,Directed
100,2179,1.0,Directed
100,2504,1.0,Directed
100,3071,1.0,Directed
100,3190,1.0,Directed
100,3324,1.0,Directed
100,3509,1.0,Directed
100,4429,1.0,Directed
100,4697,1.0,Directed
100,4713,1.0,Directed
100,6998,1.0,Directed
100,7949,1.0,Directed
100,8209,1.0,Directed
101,3053,1.0,Directed
102,3199,1.0,Directed
102,4429,1.0,Directed
103,8269,1.0,Directed
104,3846,1.0,Directed
105,27,1.0,Directed
107,7305,1.0,Directed
109,27,1.0,Directed
109,203,1.0,Directed
109,1076,1.0,Directed
109,2579,1.0,Directed
109,2702,1.0,Directed
109,3022,1.0,Directed
109,3053,1.0,Directed
109,3190,1.0,Directed
109,3509,1.0,Directed
109,3993,1.0,Directed
109,4116,1.0,Directed
109,4270,1.0,Directed
109,4623,1.0,Directed
109,4713,1.0,Directed
109,5349,1.0,Directed
109,6744,1.0,Directed
109,6998,1.0,Directed
109,7180,1.0,Directed
109,7949,1.0,Directed
109,7963,1.0,Directed
109,8433,1.0,Directed
109,8654,1.0,Directed
109,9159,1.0,Directed
110,6252,1.0,Directed
112,7305,1.0,Directed
113,7949,1.0,Directed
115,3022,1.0,Directed
116,4697,1.0,Directed
116,7949,1.0,Directed
117,5130,1.0,Directed
119,6998,1.0,Directed
121,7949,1.0,Directed
122,7305,1.0,Directed
124,3373,1.0,Directed
124,7305,1.0,Directed
125,6998,1.0,Directed
126,203,1.0,Directed
127,109,1.0,Directed
127,191,1.0,Directed
127,3053,1.0,Directed
127,3681,1.0,Directed
127,4077,1.0,Directed
129,4877,1.0,Directed
130,9643,1.0,Directed
131,3324,1.0,Directed
131,4429,1.0,Directed
132,4429,1.0,Directed
133,4429,1.0,Directed
135,4429,1.0,Directed
136,7949,1.0,Directed
137,6252,1.0,Directed
138,2262,1.0,Directed
138,3326,1.0,Directed
138,4697,1.0,Directed
138,4901,1.0,Directed
138,8904,1.0,Directed
139,4429,1.0,Directed
141,4623,1.0,Directed
142,4901,1.0,Directed
143,3190,1.0,Directed
143,3993,1.0,Directed
143,4429,1.0,Directed
143,7180,1.0,Directed
144,3190,1.0,Directed
145,7180,1.0,Directed
146,4697,1.0,Directed
147,3053,1.0,Directed
147,3190,1.0,Directed
148,4270,1.0,Directed
149,4429,1.0,Directed
150,109,1.0,Directed
153,2591,1.0,Directed
154,2702,1.0,Directed
154,3509,1.0,Directed
155,4429,1.0,Directed
156,4623,1.0,Directed
158,3326,1.0,Directed
159,4429,1.0,Directed
160,7180,1.0,Directed
161,3509,1.0,Directed
161,4429,1.0,Directed
162,8904,1.0,Directed
163,6998,1.0,Directed
164,7180,1.0,Directed
166,3022,1.0,Directed
166,6998,1.0,Directed
169,3993,1.0,Directed
170,7180,1.0,Directed
171,3993,1.0,Directed
172,4429,1.0,Directed
173,2324,1.0,Directed
174,4429,1.0,Directed
175,3053,1.0,Directed
176,1076,1.0,Directed
176,1978,1.0,Directed
177,4901,1.0,Directed
178,3993,1.0,Directed
179,3190,1.0,Directed
180,3190,1.0,Directed
181,109,1.0,Directed
183,3749,1.0,Directed
184,6998,1.0,Directed
185,8630,1.0,Directed
186,6252,1.0,Directed
187,4429,1.0,Directed
188,7949,1.0,Directed
189,6998,1.0,Directed
190,3993,1.0,Directed
191,3324,1.0,Directed
191,4429,1.0,Directed
192,4429,1.0,Directed
194,7963,1.0,Directed
195,4429,1.0,Directed
197,2702,1.0,Directed
197,3022,1.0,Directed
