Id,Label,Weight
0,fisker,1.0
1,jamesseanwright,1.0
2,EvilG-MC,1.0
3,soncodi,1.0
4,fabiancook,1.0
5,ylyxf,1.0
6,adrai,1.0
7,aleksusklim,1.0
8,msimerson,1.0
9,kevinsawicki,1.0
10,pddevops,1.0
11,CodPro-Sui,1.0
12,Jbooby,1.0
13,mpark86,1.0
14,lessfish,1.0
15,airtable-keyhanvakil,1.0
16,Ezekiel-DA,1.0
17,zhangwinning,1.0
18,shravanrn,1.0
19,perrin4869,1.0
20,vamsiv4m,1.0
21,arjun-kava,1.0
22,bjjenson,1.0
23,gschwa,1.0
24,viktor-ku,1.0
25,CrlsMrls,1.0
26,streamich,1.0
27,richardlau,1.0
28,FallingSnow,1.0
29,misos1,1.0
30,bunglegrind,1.0
31,Eli-Argon,1.0
32,jakecastelli,1.0
33,lamuertepeluda,1.0
34,imharishsundar,1.0
35,apaprocki,1.0
36,mattcollier,1.0
37,webdevlocalhost,1.0
38,sirpaulclark,1.0
39,0o001,1.0
40,yonjah,1.0
41,fiurrr,1.0
42,brody4hire,1.0
43,zeronone,1.0
44,jonahbron,1.0
45,chinadeanls,1.0
46,thinkingdyw,1.0
47,bolt-juri-gavshin,1.0
48,mohd-akram,1.0
49,stas-neverov,1.0
50,pmatos,1.0
51,skadisch,1.0
52,yagop,1.0
53,patrickshipe,1.0
54,Nixinova,1.0
55,rlidwka,1.0
56,kbuchanan,1.0
57,O4epegb,1.0
58,Pradeepm98,1.0
59,AndrewGoal,1.0
60,coolaj86,1.0
61,pavanravuri,1.0
62,medns,1.0
63,Akpotohwo,1.0
64,uzairmansoor50,1.0
65,cdking007,1.0
66,conradwt,1.0
67,bertalanimre,1.0
68,yoyo00xx,1.0
69,shaikakbarprince,1.0
70,sguillia,1.0
71,MA82F,1.0
72,rubo-21,1.0
73,jjm2473,1.0
74,jamesalfei,1.0
75,iJadric,1.0
76,yogesh-kumar-r,1.0
77,drayna5,1.0
78,panicbit,1.0
79,myitcv,1.0
80,michaelsbradleyjr,1.0
81,elmarx,1.0
82,memetb,1.0
83,Mizou04,1.0
84,giacomodabisias,1.0
85,orkaplan,1.0
86,chrishiestand,1.0
87,sfrieske,1.0
88,natedanner,1.0
89,A19890,1.0
90,richard-viney,1.0
91,jakutis,1.0
92,Jessemwangi,1.0
93,catroll,1.0
94,dylanlan,1.0
95,sxa,1.0
96,cekvenich,1.0
97,derhuerst,1.0
98,Tineler,1.0
99,fregante,1.0
100,gabrielschulhof,1.0
101,JustinYi922,1.0
102,nwtgck,1.0
103,sadtaco,1.0
104,dennisberko,1.0
105,scottcomer,1.0
106,andrewdotn,1.0
107,8MiYile,1.0
108,yanxyz,1.0
109,addaleax,1.0
110,hashimshafiq,1.0
111,projektorius96,1.0
112,justrajeshkp,1.0
113,basyg,1.0
114,justin0022,1.0
115,5amch3n,1.0
116,KevinEady,1.0
117,IgorNovozhilov,1.0
118,powlo,1.0
119,bryanburgers,1.0
120,BadIdeaException,1.0
121,kiddkai,1.0
122,argmaxmax,1.0
123,DuAnto,1.0
124,davidje13,1.0
125,a60814billy,1.0
126,LeoFC97,1.0
127,Havvy,1.0
128,tnodejs,1.0
129,cuuupid,1.0
130,severo,1.0
131,xcatliu,1.0
132,luisrudge,1.0
133,cedricbu,1.0
134,InnateAlpaca,1.0
135,bmdrake919,1.0
136,georgecrawford,1.0
137,sarangkatare,1.0
138,alexander-akait,1.0
139,mark-lester,1.0
140,jonahsnider,1.0
141,constellates,1.0
142,jude-don,1.0
143,prettydiff,1.0
144,zefir-git,1.0
145,Trung0246,1.0
146,stroucki,1.0
147,AugustinMauroy,1.0
148,kimown,1.0
149,kevinprotoss,1.0
150,vitkarpov,1.0
151,Jamie0,1.0
152,alexmario74,1.0
153,Kongpc22,1.0
154,MrHacky,1.0
155,empierre,1.0
156,nicekiwi,1.0
157,iabdo9,1.0
158,ryanxcharles,1.0
159,EasyHard,1.0
160,sreuter,1.0
161,willin,1.0
