Id,Label,Weight
0,arguiot,1.0
1,slendertaker,1.0
2,simon-tannai,1.0
3,ludofischer,1.0
4,crunchtime-ali,1.0
5,abderrahimbozakri,1.0
6,oxygen,1.0
7,itachi47,1.0
8,adriancuadrado,1.0
9,kojiGit55,1.0
10,saivanji,1.0
11,12214053332,1.0
12,derek-findthebrink,1.0
13,kevinohara80,1.0
14,thedracle,1.0
15,idanalkhalid,1.0
16,silentroach,1.0
17,dzilbers,1.0
18,aloisklink,1.0
19,keithslater,1.0
20,Janpot,1.0
21,sagar-jadhav,1.0
22,philz,1.0
23,mike182uk,1.0
24,uy0101,1.0
25,sasikumar2493,1.0
26,jstarks,1.0
27,meetDeveloper,1.0
28,tstanev,1.0
29,digitaldina,1.0
30,bakpatrycja,1.0
31,jasholl,1.0
32,Antonius-S,1.0
33,L3P3,1.0
34,Kukunin,1.0
35,sayymeer,1.0
36,KindWizzard,1.0
37,abalter,1.0
38,Neaox,1.0
39,dan-mcdonald,1.0
40,SayeedMahdi,1.0
41,regseb,1.0
42,srapilly,1.0
43,vishwasrao,1.0
44,andred,1.0
45,callmebar,1.0
46,jimmyolo,1.0
47,fgarcia,1.0
48,benasher44,1.0
49,heipei,1.0
50,tmshort,1.0
51,zadmarbella,1.0
52,damianprzygodzki,1.0
53,albertyw,1.0
54,Codie-Petersen,1.0
55,ishansan38,1.0
56,timmolendijk,1.0
57,dachrillz,1.0
58,sidorares,1.0
59,ahmadnasriya,1.0
60,NikhilNanjappa-zz,1.0
61,oskapt,1.0
62,aki0501,1.0
63,TokugawaTakeshi,1.0
64,adriangrigore,1.0
65,waitingsong,1.0
66,JacopKane,1.0
67,delaguilaluis,1.0
68,veerbala82,1.0
69,severn-everett,1.0
70,simonkcleung,1.0
71,adzenith,1.0
72,mrhyde,1.0
73,TheCloudlessSky,1.0
74,marystogova,1.0
75,Yaakov-Belch,1.0
76,andrewk,1.0
77,contact-nat,1.0
78,junaid-ali,1.0
79,abhashkmr,1.0
80,remusao,1.0
81,scandinave,1.0
82,gmoqa,1.0
83,dreamyzhang,1.0
84,df1,1.0
85,hgqxjj,1.0
86,sbdchd,1.0
87,robertleeplummerjr,1.0
88,WRMSRwasTaken,1.0
89,salisbury-espinosa,1.0
90,kgno53c6w0aqlq4qeeo,1.0
91,whes1015,1.0
92,rjsalvadorr,1.0
93,Sodium-Aluminate,1.0
94,chenyihan,1.0
95,drcapulet,1.0
96,XiaoningLiu,1.0
97,B1773rm4n,1.0
98,devnexen,1.0
99,duvanmonsa,1.0
100,sophiebits,1.0
101,pitzzahh,1.0
102,geekplux,1.0
103,Nagasai-Aytha,1.0
104,vishal6557,1.0
105,RochitJain,1.0
106,gautamarora,1.0
107,pranshuchittora,1.0
108,udaysurendra,1.0
109,mathewgeola,1.0
110,pddevops,1.0
111,sonaysevik,1.0
112,michael42,1.0
113,paul-soporan,1.0
114,aidandenlinger,1.0
115,lmichailian,1.0
116,cognisent,1.0
117,GeorgeSapkin,1.0
118,Morojs,1.0
119,krutoo,1.0
120,treemore,1.0
121,heripurnama,1.0
122,zyh825,1.0
123,kerosan,1.0
124,Carlkasa,1.0
125,TonyBogdanov,1.0
126,powlo,1.0
127,SanderKok01,1.0
128,shaoshuai0102,1.0
129,ayungavis,1.0
130,CodisRedding,1.0
131,JinhyeokFang,1.0
132,ashleygwilliams,1.0
133,s2t2,1.0
134,aakarshan29,1.0
135,wdittmer-mp,1.0
136,ahummel25,1.0
137,dgroomes,1.0
138,zvictor,1.0
139,DROBNJAK,1.0
140,agarzola,1.0
141,wltsmrz,1.0
142,Anutrix,1.0
143,kazuma0129,1.0
144,etamponi,1.0
145,RhettRainen,1.0
146,iloveitaly,1.0
147,devanshdixit,1.0
148,Chewhern,1.0
149,rafaeljesus,1.0
150,pythonnoob-lol,1.0
151,200GAUTAM,1.0
152,islishude,1.0
153,changsi-an,1.0
154,cosmo0,1.0
155,jayaddison,1.0
156,sibyaugustine,1.0
157,twiss,1.0
158,spursy,1.0
159,kararkraj,1.0
160,3228689373,1.0
161,Iso5786,1.0
162,jua74470,1.0
163,timroes,1.0
164,dariodebastiani-roo,1.0
165,shivamindalkar,1.0
166,xdc0,1.0
167,Regradingmelissa,1.0
168,zouhairkhallaf,1.0
169,conghau123,1.0
170,codyhazelwood,1.0
171,joebowbeer,1.0
172,Bastinately,1.0
173,vilicvane,1.0
174,y1j2x34,1.0
175,pragyandas,1.0
176,mankeheaven,1.0
177,DongwonTTuna,1.0
178,kau1992,1.0
179,manilson,1.0
180,srriddle,1.0
181,qtisan,1.0
182,retorquere,1.0
183,childrenmen,1.0
184,zaguiini,1.0
185,odewdney,1.0
186,andrewstucki,1.0
187,blakmatrix,1.0
188,samrm111,1.0
189,chris-morgan,1.0
190,LvChengbin,1.0
191,garciacarmonaam,1.0
192,iravishah,1.0
193,ishaan112233,1.0
194,dtex,1.0
195,mboughaba,1.0
196,gabrielsimas,1.0
197,stuartpb,1.0
198,SamuelMarks,1.0
199,deanhiller,1.0
200,Handfish,1.0
201,taylor009,1.0
202,alextes,1.0
203,ggreco,1.0
204,dkemper01,1.0
205,FabioAntunes,1.0
206,d3lm,1.0
207,stefhak,1.0
208,GreenSleepes,1.0
209,porsager,1.0
210,ephys,1.0
211,bruce-c-liu,1.0
212,rubys,1.0
213,romellem,1.0
214,romayalon,1.0
215,noncom,1.0
216,youpiwaza,1.0
217,weyj4,1.0
218,super-user-permission,1.0
219,l2dy,1.0
220,Scya597,1.0
221,siddhant1,1.0
222,uclnj,1.0
223,luidynaves,1.0
224,Skn0tt,1.0
225,upsuper,1.0
226,maggie44,1.0
227,MrOutput,1.0
228,StevenWinde,1.0
229,d4vsanchez,1.0
230,stanleympoyi,1.0
231,MeCode50,1.0
232,MykytaLiashenko,1.0
233,bordoley,1.0
234,rse,1.0
235,camsteffen,1.0
236,crossrw,1.0
237,tunniclm,1.0
238,zhangrenyang,1.0
239,netcore-jroger,1.0
240,alecrajeev,1.0
241,WhatFreshHellIsThis,1.0
242,kyle7zhang,1.0
243,jkryl,1.0
244,teddy1565,1.0
245,nbabanov,1.0
246,katie-roberts,1.0
247,blestab,1.0
248,Paul-Isache,1.0
249,AAber,1.0
250,abrady0,1.0
251,mattcg,1.0
252,RakshithNM,1.0
253,nick4fake,1.0
254,sk-pathak,1.0
255,KevinEady,1.0
256,PriyaNode,1.0
257,Mazhar7860,1.0
258,murakami,1.0
259,nwoltman,1.0
260,yashdev9274,1.0
261,gigobyte,1.0
262,davecarlson,1.0
263,ruxandrafed,1.0
264,EladKeyshawn,1.0
265,furkanmustafa,1.0
266,Reobos,1.0
267,poke,1.0
268,bmacnaughton,1.0
269,windyGex,1.0
270,buzzbo,1.0
271,smamran,1.0
272,georgezlei,1.0
273,CloudyIceRain,1.0
274,johnandersen777,1.0
275,jespertheend,1.0
276,ferencbeutel4711,1.0
277,geoffrey-vl,1.0
278,5ebastianMeier,1.0
279,Fryuni,1.0
280,Gribbs,1.0
281,abjunoo,1.0
282,RainingChain,1.0
283,Mouvedia,1.0
284,christhegrand,1.0
285,adenrashid,1.0
286,kirked,1.0
287,jabari-max,1.0
288,mike-zorn,1.0
289,towc,1.0
290,rrraj,1.0
291,DaisyDogs07,1.0
292,Flopyofc1,1.0
293,martinkuba,1.0
294,Brian1111,1.0
295,rijnhard,1.0
296,shaitomer64,1.0
297,JosephLeon,1.0
298,isti115,1.0
299,manishmotiani,1.0
300,papiro,1.0
301,Shailesh172,1.0
302,Reveares,1.0
303,chriskilding,1.0
304,leonkaihao,1.0
305,edmorley,1.0
306,cristianounix,1.0
307,zkd8907,1.0
308,benwiley4000,1.0
309,GabrielRatener,1.0
310,xiaomo1q,1.0
311,MelinaMejia95,1.0
312,dneumann712,1.0
313,srxzr,1.0
314,hp8wvvvgnj6asjm7,1.0
315,rgbkrk,1.0
316,nanaya,1.0
317,cymruu,1.0
318,freiit,1.0
319,lvneg1,1.0
320,chgg-kboberg,1.0
321,nicmak,1.0
322,tikotzky,1.0
323,vixony,1.0
324,plemarquand,1.0
325,Janrupf,1.0
326,UGAROY,1.0
327,yvesgurcan,1.0
328,jdjuan,1.0
329,ReillyBrogan,1.0
330,glassdimlygr,1.0
331,jn-lp,1.0
332,9christine,1.0
333,okmttdhr,1.0
334,GrinZero,1.0
335,yaacovCR,1.0
336,daxingplay,1.0
337,JYone3A,1.0
338,TheoSmeets,1.0
339,safinaskar,1.0
340,gana6547,1.0
341,tehsenaus,1.0
342,koharubiyori,1.0
343,questgugou,1.0
344,HipsterZipster,1.0
345,abmusse,1.0
346,volkovasystems,1.0
347,ELSS-ZION,1.0
348,gr2m,1.0
349,vihsnu,1.0
350,omkarchavan415,1.0
351,lianmakesthings,1.0
352,voodootikigod,1.0
353,islittle,1.0
354,namnq,1.0
355,zardaloop,1.0
356,Karang,1.0
357,jonnyk20,1.0
358,sidewaiise,1.0
359,jordimassaguerpla,1.0
360,Mishradity,1.0
361,its-frank-huang,1.0
362,blaine,1.0
363,lander0s,1.0
364,sundayScoop,1.0
365,wcupped,1.0
366,zchrykng,1.0
367,smcmurray,1.0
368,gotrevor,1.0
369,sffc,1.0
370,mm739521,1.0
371,zak-grumbles,1.0
372,projectnoa,1.0
373,jscottchapman,1.0
374,scottjbeck,1.0
375,huntr-helper,1.0
376,Mnnu1234,1.0
377,wmelton,1.0
378,danielcompton,1.0
379,royallabs,1.0
380,ivan-vilches,1.0
381,arsalanhub,1.0
382,nelsonlarocca,1.0
383,ishan123456789,1.0
384,vibegui,1.0
385,Bobricko,1.0
386,fsbatista,1.0
387,spockfish,1.0
388,hardfalcon,1.0
389,Nishikoh,1.0
390,lautarodragan,1.0
391,joaosa,1.0
392,fabiosantoscode,1.0
393,ksushilmaurya,1.0
394,kalmanl,1.0
395,kanbang,1.0
396,rvypandey,1.0
397,muhfauzi658-crypto,1.0
398,olov,1.0
399,yashgt,1.0
400,Sai0407,1.0
401,jfriend00,1.0
402,crfrolik,1.0
403,Paul-Browne,1.0
404,sonicoder86,1.0
405,llafuente,1.0
406,viky-01,1.0
407,JadeJT,1.0
408,joeybaker,1.0
409,christiantakle,1.0
410,firminochangani,1.0
411,robogeek,1.0
412,jpsollie,1.0
413,Christian0411,1.0
414,mikenikles,1.0
415,skchinna7,1.0
416,thomasmodeneis,1.0
417,ivanm376,1.0
418,lprasanthi,1.0
419,mancasg,1.0
420,TylerLeonhardt,1.0
421,bonesoul,1.0
422,hyf0,1.0
423,dustinlacewell,1.0
424,dman777,1.0
425,zeke,1.0
426,amiller-gh,1.0
427,jasonwashburn,1.0
428,qidirbaev,1.0
429,mjseidel,1.0
430,Dheemanth1910,1.0
431,flickz,1.0
432,perguth,1.0
433,somnathpanja,1.0
434,DNin01,1.0
435,predragnikolic,1.0
436,thesamesam,1.0
437,SerayaEryn,1.0
438,ledmirage,1.0
439,drexler,1.0
440,mownikaasokan,1.0
441,sepmein,1.0
442,muhammadyou,1.0
