Source,Target,Weight,Type
0,1,18.0,Directed
0,2,6.0,Directed
0,3,2.0,Directed
0,4,3.0,Directed
0,5,12.0,Directed
0,6,39.0,Directed
0,7,18.0,Directed
0,8,9.0,Directed
0,9,22.0,Directed
0,10,3.0,Directed
0,11,9.0,Directed
0,12,3.0,Directed
0,13,3.0,Directed
0,14,3.0,Directed
0,15,18.0,Directed
0,16,6.0,Directed
0,17,3.0,Directed
0,18,6.0,Directed
0,19,3.0,Directed
0,20,3.0,Directed
0,21,6.0,Directed
0,22,3.0,Directed
0,23,6.0,Directed
0,24,3.0,Directed
0,25,6.0,Directed
0,26,3.0,Directed
0,27,3.0,Directed
0,28,6.0,Directed
0,29,3.0,Directed
0,30,3.0,Directed
0,31,3.0,Directed
0,32,3.0,Directed
0,33,2.0,Directed
0,34,4.0,Directed
0,35,12.0,Directed
0,36,3.0,Directed
0,37,3.0,Directed
0,38,28.0,Directed
0,39,3.0,Directed
0,40,6.0,Directed
0,41,48.0,Directed
0,42,15.0,Directed
0,43,9.0,Directed
0,44,9.0,Directed
0,45,3.0,Directed
0,46,6.0,Directed
0,47,4.0,Directed
0,48,3.0,Directed
0,49,9.0,Directed
0,50,3.0,Directed
0,51,3.0,Directed
0,52,18.0,Directed
0,53,6.0,Directed
0,54,3.0,Directed
0,55,3.0,Directed
0,56,6.0,Directed
0,57,9.0,Directed
0,58,3.0,Directed
0,59,3.0,Directed
0,60,2.0,Directed
0,61,6.0,Directed
0,62,3.0,Directed
0,63,21.0,Directed
0,64,30.0,Directed
0,65,3.0,Directed
0,66,6.0,Directed
0,67,6.0,Directed
0,68,6.0,Directed
0,69,12.0,Directed
0,70,3.0,Directed
0,71,12.0,Directed
0,72,9.0,Directed
0,73,3.0,Directed
0,74,6.0,Directed
0,75,3.0,Directed
0,76,3.0,Directed
0,77,3.0,Directed
0,78,12.0,Directed
0,79,6.0,Directed
0,80,4.0,Directed
0,81,4.0,Directed
0,82,2.0,Directed
0,83,39.0,Directed
0,84,6.0,Directed
0,85,3.0,Directed
0,86,12.0,Directed
0,87,6.0,Directed
0,88,57.0,Directed
0,89,9.0,Directed
0,90,12.0,Directed
0,91,3.0,Directed
0,92,3.0,Directed
0,93,2.0,Directed
0,94,3.0,Directed
0,95,2.0,Directed
0,96,6.0,Directed
0,97,3.0,Directed
0,98,6.0,Directed
0,99,6.0,Directed
0,100,20.0,Directed
0,101,3.0,Directed
0,102,3.0,Directed
0,103,12.0,Directed
0,104,3.0,Directed
0,105,3.0,Directed
0,106,3.0,Directed
0,107,3.0,Directed
0,108,10.0,Directed
0,109,3.0,Directed
0,110,4.0,Directed
0,111,6.0,Directed
0,112,30.0,Directed
0,113,33.0,Directed
0,114,15.0,Directed
0,115,2.0,Directed
0,116,2.0,Directed
0,117,3.0,Directed
0,118,126.0,Directed
0,119,3.0,Directed
0,120,6.0,Directed
0,121,9.0,Directed
0,122,6.0,Directed
0,123,9.0,Directed
0,124,7.0,Directed
0,125,3.0,Directed
0,126,6.0,Directed
0,127,3.0,Directed
0,128,3.0,Directed
0,129,6.0,Directed
0,130,3.0,Directed
0,131,3.0,Directed
0,132,6.0,Directed
0,133,9.0,Directed
0,134,5.0,Directed
0,135,36.0,Directed
0,136,3.0,Directed
0,137,3.0,Directed
0,138,9.0,Directed
0,139,3.0,Directed
0,140,3.0,Directed
0,141,3.0,Directed
0,142,166.0,Directed
0,143,75.0,Directed
0,144,24.0,Directed
0,145,12.0,Directed
0,146,6.0,Directed
0,147,27.0,Directed
0,148,3.0,Directed
0,149,2.0,Directed
0,150,2.0,Directed
0,151,3.0,Directed
0,152,3.0,Directed
0,153,3.0,Directed
0,154,3.0,Directed
0,155,6.0,Directed
0,156,3.0,Directed
0,157,4.0,Directed
0,158,3.0,Directed
0,159,3.0,Directed
0,160,6.0,Directed
0,161,9.0,Directed
0,162,9.0,Directed
0,163,3.0,Directed
0,164,3.0,Directed
0,165,3.0,Directed
0,166,6.0,Directed
0,167,3.0,Directed
0,168,18.0,Directed
0,169,6.0,Directed
0,170,21.0,Directed
0,171,3.0,Directed
0,172,31.0,Directed
0,173,3.0,Directed
0,174,43.0,Directed
0,175,12.0,Directed
0,176,9.0,Directed
0,177,3.0,Directed
0,178,6.0,Directed
0,179,39.0,Directed
0,180,3.0,Directed
0,181,6.0,Directed
0,182,9.0,Directed
0,183,6.0,Directed
0,184,18.0,Directed
0,185,9.0,Directed
0,186,6.0,Directed
0,187,3.0,Directed
0,188,8.0,Directed
0,189,12.0,Directed
0,190,6.0,Directed
0,191,3.0,Directed
0,192,3.0,Directed
0,193,9.0,Directed
0,194,3.0,Directed
0,195,9.0,Directed
0,196,11.0,Directed
0,197,15.0,Directed
0,198,6.0,Directed
0,199,70.0,Directed
0,200,9.0,Directed
0,201,3.0,Directed
0,202,5.0,Directed
0,203,9.0,Directed
0,204,6.0,Directed
0,205,33.0,Directed
0,206,3.0,Directed
0,207,1022.0,Directed
0,208,3.0,Directed
0,209,3.0,Directed
0,210,3.0,Directed
0,211,24.0,Directed
0,212,3.0,Directed
0,213,3.0,Directed
0,214,3.0,Directed
0,215,9.0,Directed
0,216,12.0,Directed
0,217,3.0,Directed
0,218,8.0,Directed
0,219,3.0,Directed
0,220,3.0,Directed
0,221,2.0,Directed
0,222,9.0,Directed
0,223,6.0,Directed
0,224,6.0,Directed
0,225,6.0,Directed
0,226,6.0,Directed
0,227,9.0,Directed
