Id,Label,Weight
0,bnoordhuis,1.0
1,alexeyten,1.0
2,zweifisch,1.0
3,fvdm,1.0
4,chriskuehl,1.0
5,Stefan9283,1.0
6,sulthonzh,1.0
7,jamesreggio,1.0
8,caiolrm,1.0
9,wdittmer-mp,1.0
10,yukulele,1.0
11,conartist6,1.0
12,zkochan,1.0
13,junebug12851,1.0
14,jitension,1.0
15,BadgerBadgerBadgerBadger,1.0
16,michaelwiles,1.0
17,cclauss,1.0
18,teerapat1739,1.0
19,the-dixie-flatline,1.0
20,GeorgiiGalechyan,1.0
21,Cydox,1.0
22,ruh,1.0
23,AJamesPhillips,1.0
24,jbunton-atlassian,1.0
25,MA82F,1.0
26,temaivanoff,1.0
27,JonathanDn,1.0
28,ovchinikov,1.0
29,yackermann,1.0
30,notcake,1.0
31,natorion,1.0
32,kmocorro,1.0
33,cswl,1.0
34,tobiasandersen,1.0
35,troppoli,1.0
36,felipezacani,1.0
37,ipurdy,1.0
38,dominopetter,1.0
39,espoal,1.0
40,andrewdeandrade,1.0
41,petkaantonov,1.0
42,AaronAsAChimp,1.0
43,arjun-kava,1.0
44,fuson,1.0
45,tingshao,1.0
46,codemeasandwich,1.0
47,Dominik-K,1.0
48,restarian,1.0
49,overlookmotel,1.0
50,tetsuharuohzeki,1.0
51,purgeyao,1.0
52,buluslidlink,1.0
53,dunnock,1.0
54,kwasimensah,1.0
55,annevk,1.0
56,giltayar,1.0
57,abmusse,1.0
58,BethGriggs,1.0
59,WillerZ,1.0
60,gabmontes,1.0
61,trivikr,1.0
62,sparecycles,1.0
63,daveisfera,1.0
64,Ryuno-Ki,1.0
65,daviddias,1.0
66,rafis,1.0
67,adrien-thierry,1.0
68,Snorvarg,1.0
69,bright21051,1.0
70,Kramb,1.0
71,rajsite,1.0
72,ohhmm,1.0
73,boneskull,1.0
74,sharkfisher,1.0
75,tschaub,1.0
76,ekalkutin,1.0
77,sbalko,1.0
78,Shiranuit,1.0
79,jakebailey,1.0
80,MicahZoltu,1.0
81,Dmytro-Komaryst,1.0
82,Brooooooklyn,1.0
83,Melchyore,1.0
84,alexkwolfe,1.0
85,bzoz,1.0
86,natewatson999,1.0
87,khaosdoctor,1.0
88,NoHomey,1.0
89,salisbury-espinosa,1.0
90,bluelovers,1.0
91,jabrown85,1.0
92,AlttiRi,1.0
93,sushi90,1.0
94,ziyunfei,1.0
95,SkReD,1.0
96,yinrong,1.0
97,aalexgabi,1.0
98,jhgoebbert,1.0
99,Bastczuak,1.0
100,ZebraFlesh,1.0
101,devsnek,1.0
102,posidron,1.0
103,nicoabie,1.0
104,yseymour,1.0
105,retrohacker,1.0
106,twoco,1.0
107,arunvspider,1.0
108,aleksey-hoffman,1.0
109,LaurentGoderre,1.0
110,leobgm,1.0
111,jorangreef,1.0
112,rhenwood-arm,1.0
113,notakay,1.0
114,bmacnaughton,1.0
115,bcherny,1.0
116,mirkoboggian,1.0
117,matthewrankin,1.0
118,anonrig,1.0
119,jeffmcmahan,1.0
120,matus-vacula,1.0
121,mek-omkar,1.0
122,andreamancuso,1.0
123,AdamNewman,1.0
124,Shin1gami,1.0
125,mahmoud-git-hub,1.0
126,timkuijsten,1.0
127,kklas,1.0
128,User5842,1.0
129,eyz,1.0
130,masaeedu,1.0
131,Strikeeaglechase,1.0
132,seamusgalla,1.0
133,jameshartig,1.0
134,pmatos,1.0
135,NawarA,1.0
136,MMhunter,1.0
137,MichaelJCole,1.0
138,jcalfee,1.0
139,danrzeppa,1.0
140,blakeembrey,1.0
141,kriskowal,1.0
142,nicojs,1.0
143,tiagonapoli,1.0
144,CocytusElias,1.0
145,segrey,1.0
146,Zirro,1.0
147,nkt,1.0
148,twilker,1.0
149,phw,1.0
150,welefen,1.0
151,awtcode,1.0
152,benjamingr,1.0
153,wazho,1.0
154,romgrk,1.0
155,SteveCruise,1.0
156,jaburns,1.0
157,noahehall,1.0
158,Barr-find,1.0
159,mStirner,1.0
160,bmeck,1.0
161,chajath,1.0
162,pmarrapese,1.0
163,targos,1.0
164,rdhafidh,1.0
165,alitariq4589,1.0
166,safqwf,1.0
167,aminjam,1.0
168,CathyKMeow,1.0
169,holm,1.0
170,annabokhan,1.0
171,maicss,1.0
172,steelx,1.0
173,reneweb,1.0
174,simonbuchan,1.0
175,RobertDiebels,1.0
176,dragosnicolae,1.0
177,jakobkummerow,1.0
178,mariovor,1.0
179,septs,1.0
180,bjouhier,1.0
181,neuroscr,1.0
182,bikashmishra100,1.0
183,sahilsarpal1,1.0
184,aabidkhan786,1.0
185,dead-claudia,1.0
186,kyriosli,1.0
187,stevemao,1.0
188,jcplist,1.0
189,keyiis,1.0
190,RobAtticus,1.0
191,kevinohara80,1.0
192,dxm3020,1.0
193,SuperSnowYao,1.0
194,thecaddy,1.0
195,damncabbage,1.0
196,Revision18,1.0
197,reesew,1.0
198,sholladay,1.0
199,caijw,1.0
200,tebeka,1.0
201,avaer,1.0
202,fengmk2,1.0
203,metalvexis,1.0
204,Elisabetta-Ramilli,1.0
205,CoderScribe,1.0
206,ronwang01,1.0
207,nwtgck,1.0
208,Flimm,1.0
209,wysisoft,1.0
210,farfromrefug,1.0
211,alexkozy,1.0
