Source,Target,Weight,Type
0,1,3.0,Directed
0,2,6.0,Directed
0,3,252.0,Directed
0,4,13.0,Directed
0,5,18.0,Directed
0,6,3.0,Directed
0,7,3.0,Directed
0,8,6.0,Directed
0,9,6.0,Directed
0,10,2.0,Directed
0,11,153.0,Directed
0,12,11.0,Directed
0,13,3.0,Directed
0,14,9.0,Directed
0,15,3.0,Directed
0,16,12.0,Directed
0,17,3.0,Directed
0,18,24.0,Directed
0,19,12.0,Directed
0,20,3.0,Directed
0,21,3.0,Directed
0,22,9.0,Directed
0,23,7.0,Directed
0,24,15.0,Directed
0,25,9.0,Directed
0,26,3.0,Directed
0,27,3.0,Directed
0,28,3.0,Directed
0,29,3.0,Directed
0,30,6.0,Directed
0,31,3.0,Directed
0,32,6.0,Directed
0,33,6.0,Directed
0,34,3.0,Directed
0,35,3.0,Directed
0,36,3.0,Directed
0,37,3.0,Directed
0,38,18.0,Directed
0,39,6.0,Directed
0,40,3.0,Directed
0,41,6.0,Directed
0,42,12.0,Directed
0,43,3.0,Directed
0,44,3.0,Directed
0,45,3.0,Directed
0,46,3.0,Directed
0,47,3.0,Directed
0,48,5.0,Directed
0,49,6.0,Directed
0,50,3.0,Directed
0,51,12.0,Directed
0,52,15.0,Directed
0,53,3.0,Directed
0,54,3.0,Directed
0,55,3.0,Directed
0,56,18.0,Directed
0,57,3.0,Directed
0,58,3.0,Directed
0,59,3.0,Directed
0,60,3.0,Directed
0,61,3.0,Directed
0,62,9.0,Directed
0,63,6.0,Directed
0,64,33.0,Directed
0,65,3.0,Directed
0,66,3.0,Directed
0,67,6.0,Directed
0,68,3.0,Directed
0,69,6.0,Directed
0,70,2.0,Directed
0,71,3.0,Directed
0,72,3.0,Directed
0,73,3.0,Directed
0,74,3.0,Directed
0,75,24.0,Directed
0,76,3.0,Directed
0,77,3.0,Directed
0,78,6.0,Directed
0,79,3.0,Directed
0,80,3.0,Directed
0,81,2.0,Directed
0,82,6.0,Directed
0,83,3.0,Directed
0,84,9.0,Directed
0,85,4.0,Directed
0,86,12.0,Directed
0,87,5.0,Directed
0,88,3.0,Directed
0,89,9.0,Directed
0,90,3.0,Directed
0,91,2.0,Directed
0,92,6.0,Directed
0,93,4.0,Directed
0,94,3.0,Directed
0,95,17.0,Directed
0,96,9.0,Directed
0,97,3.0,Directed
0,98,3.0,Directed
0,99,24.0,Directed
0,100,3.0,Directed
0,101,6.0,Directed
0,102,12.0,Directed
0,103,3.0,Directed
0,104,3.0,Directed
0,105,3.0,Directed
0,106,6.0,Directed
0,107,60.0,Directed
0,108,6.0,Directed
0,109,2.0,Directed
0,110,3.0,Directed
0,111,3.0,Directed
0,112,3.0,Directed
0,113,6.0,Directed
0,114,3.0,Directed
0,115,3.0,Directed
0,116,6.0,Directed
0,117,9.0,Directed
0,118,16.0,Directed
0,119,9.0,Directed
0,120,18.0,Directed
0,121,6.0,Directed
0,122,9.0,Directed
0,123,3.0,Directed
0,124,3.0,Directed
0,125,3.0,Directed
0,126,3.0,Directed
0,127,3.0,Directed
0,128,9.0,Directed
0,129,575.0,Directed
0,130,8.0,Directed
0,131,3.0,Directed
0,132,36.0,Directed
0,133,6.0,Directed
0,134,4.0,Directed
0,135,3.0,Directed
0,136,6.0,Directed
0,137,13.0,Directed
0,138,3.0,Directed
0,139,3.0,Directed
0,140,39.0,Directed
0,141,3.0,Directed
0,142,3.0,Directed
0,143,4.0,Directed
0,144,6.0,Directed
0,145,12.0,Directed
0,146,4.0,Directed
0,147,3.0,Directed
0,148,2.0,Directed
0,149,2.0,Directed
0,150,3.0,Directed
0,151,9.0,Directed
0,152,70.0,Directed
0,153,3.0,Directed
0,154,6.0,Directed
0,155,3.0,Directed
0,156,9.0,Directed
0,157,2.0,Directed
0,158,6.0,Directed
0,159,6.0,Directed
0,160,6.0,Directed
0,161,6.0,Directed
0,162,6.0,Directed
0,163,3.0,Directed
0,164,2.0,Directed
0,165,15.0,Directed
0,166,8.0,Directed
0,167,6.0,Directed
0,168,3.0,Directed
0,169,3.0,Directed
0,170,6.0,Directed
0,171,3.0,Directed
0,172,15.0,Directed
0,173,6.0,Directed
0,174,6.0,Directed
0,175,3.0,Directed
0,176,48.0,Directed
0,177,3.0,Directed
0,178,4.0,Directed
0,179,3.0,Directed
0,180,15.0,Directed
0,181,15.0,Directed
0,182,2.0,Directed
0,183,3.0,Directed
0,184,3.0,Directed
0,185,3.0,Directed
0,186,3.0,Directed
0,187,6.0,Directed
0,188,3.0,Directed
0,189,6.0,Directed
0,190,91.0,Directed
0,191,2.0,Directed
0,192,3.0,Directed
0,193,3.0,Directed
0,194,3.0,Directed
0,195,8.0,Directed
0,196,3.0,Directed
0,197,3.0,Directed
0,198,3.0,Directed
0,199,3.0,Directed
0,200,3.0,Directed
0,201,9.0,Directed
0,202,3.0,Directed
0,203,6.0,Directed
0,204,6.0,Directed
0,205,3.0,Directed
0,206,6.0,Directed
0,207,15.0,Directed
0,208,3.0,Directed
0,209,15.0,Directed
0,210,2.0,Directed
0,211,3.0,Directed
0,212,12.0,Directed
0,213,3.0,Directed
0,214,6.0,Directed
0,215,3.0,Directed
0,216,3.0,Directed
0,217,3.0,Directed
0,218,2.0,Directed
0,219,4.0,Directed
0,220,6.0,Directed
0,221,3.0,Directed
0,222,6.0,Directed
0,223,12.0,Directed
0,224,15.0,Directed
0,225,2.0,Directed
0,226,3.0,Directed
0,227,62.0,Directed
0,228,3.0,Directed
0,229,105.0,Directed
0,230,15.0,Directed
0,231,18.0,Directed
0,232,3.0,Directed
0,233,6.0,Directed
0,234,3.0,Directed
0,235,3.0,Directed
0,236,3.0,Directed
0,237,90.0,Directed
0,238,9.0,Directed
0,239,15.0,Directed
0,240,18.0,Directed
0,241,27.0,Directed
0,242,15.0,Directed
0,243,9.0,Directed
0,244,3.0,Directed
0,245,12.0,Directed
0,246,3.0,Directed
0,247,9.0,Directed
0,248,41.0,Directed
0,249,14.0,Directed
0,250,28.0,Directed
0,251,9.0,Directed
0,252,3.0,Directed
0,253,3.0,Directed
0,254,12.0,Directed
0,255,3.0,Directed
0,256,9.0,Directed
0,257,3.0,Directed
0,258,3.0,Directed
0,259,2.0,Directed
0,260,3.0,Directed
0,261,3.0,Directed
0,262,3.0,Directed
0,263,6.0,Directed
0,264,15.0,Directed
0,265,15.0,Directed
0,266,3.0,Directed
0,267,9.0,Directed
0,268,15.0,Directed
0,269,3.0,Directed
0,270,3.0,Directed
0,271,9.0,Directed
0,272,3.0,Directed
0,273,3.0,Directed
0,274,3.0,Directed
0,275,2.0,Directed
0,276,2.0,Directed
0,277,3.0,Directed
0,278,6.0,Directed
0,279,12.0,Directed
0,280,6.0,Directed
0,281,68.0,Directed
0,282,3.0,Directed
0,283,3.0,Directed
0,284,3.0,Directed
0,285,3.0,Directed
0,286,2.0,Directed
0,287,6.0,Directed
0,288,3.0,Directed
0,289,61.0,Directed
0,290,3.0,Directed
0,291,6.0,Directed
0,292,3.0,Directed
0,293,3.0,Directed
0,294,3.0,Directed
0,295,3.0,Directed
0,296,51.0,Directed
0,297,4.0,Directed
0,298,6.0,Directed
0,299,6.0,Directed
0,300,15.0,Directed
0,301,3.0,Directed
0,302,3.0,Directed
0,303,6.0,Directed
0,304,3.0,Directed
0,305,9.0,Directed
0,306,3.0,Directed
0,307,3.0,Directed
0,308,3.0,Directed
0,309,27.0,Directed
0,310,3.0,Directed
0,311,3.0,Directed
0,312,18.0,Directed
0,313,9.0,Directed
0,314,9.0,Directed
0,315,9.0,Directed
0,316,9.0,Directed
0,317,6.0,Directed
0,318,3.0,Directed
0,319,23.0,Directed
0,320,2.0,Directed
0,321,24.0,Directed
0,322,3.0,Directed
0,323,6.0,Directed
0,324,3.0,Directed
0,325,3.0,Directed
0,326,6.0,Directed
0,327,3.0,Directed
0,328,27.0,Directed
0,329,3.0,Directed
0,330,48.0,Directed
0,331,18.0,Directed
0,332,12.0,Directed
0,333,4.0,Directed
0,334,3.0,Directed
0,335,24.0,Directed
0,336,3.0,Directed
0,337,6.0,Directed
0,338,6.0,Directed
0,339,3.0,Directed
0,340,6.0,Directed
0,341,6.0,Directed
0,342,12.0,Directed
0,343,9.0,Directed
0,344,3.0,Directed
0,345,3.0,Directed
0,346,24.0,Directed
0,347,18.0,Directed
0,348,33.0,Directed
0,349,3.0,Directed
0,350,9.0,Directed
0,351,408.0,Directed
0,352,12.0,Directed
0,353,9.0,Directed
0,354,3.0,Directed
0,355,6.0,Directed
0,356,3.0,Directed
0,357,6.0,Directed
0,358,3.0,Directed
0,359,3.0,Directed
0,360,44.0,Directed
0,361,3.0,Directed
0,362,3.0,Directed
0,363,3.0,Directed
0,364,9.0,Directed
0,365,6.0,Directed
0,366,3.0,Directed
0,367,6.0,Directed
0,368,3.0,Directed
0,369,3.0,Directed
0,370,3.0,Directed
0,371,3.0,Directed
0,372,6.0,Directed
0,373,3.0,Directed
0,374,3.0,Directed
0,375,3.0,Directed
0,376,15.0,Directed
