Id,Label,Weight
0,larsch,1.0
1,immjs,1.0
2,sjlehn,1.0
3,orta,1.0
4,tebeka,1.0
5,eyalsach,1.0
6,stenalpjolly,1.0
7,crazywako,1.0
8,mamatha-jv,1.0
9,icodeforlove,1.0
10,tjwebb,1.0
11,wasitmirani,1.0
12,hhorak,1.0
13,martinmckenna,1.0
14,negatratoron,1.0
15,h1z1,1.0
16,jackfromeast,1.0
17,cola119,1.0
18,RobinTail,1.0
19,wietsevenema,1.0
20,mihan007,1.0
21,almansourcisse743-ops,1.0
22,pedrottimark,1.0
23,isavegas,1.0
24,TonySpegel,1.0
25,MartiniHenry1988,1.0
26,damien-git,1.0
27,wayofthefuture,1.0
28,holm,1.0
29,lspiehler,1.0
30,zalupoi,1.0
31,king350023,1.0
32,dmitriym09,1.0
33,mustafafatal,1.0
34,loyd,1.0
35,cornopaez,1.0
36,ffflorian,1.0
37,Prateek462003,1.0
38,hhsprings,1.0
39,elyran,1.0
40,derolf,1.0
41,Jzarecta,1.0
42,eyalroth,1.0
43,agracia-foticos,1.0
44,ajays97,1.0
45,chuyaguo2014,1.0
46,andreubotella,1.0
47,Fryuni,1.0
48,cyco130,1.0
49,didmehh,1.0
50,yemanett,1.0
51,mpsommer,1.0
52,mullim,1.0
53,Flimm,1.0
54,mkvlrn,1.0
55,a7madgamal,1.0
56,comods,1.0
57,AdrianoRobson,1.0
58,Miguel736j,1.0
59,DmitryAstafyev,1.0
60,JacksonKearl,1.0
61,tcf909,1.0
62,nitsky,1.0
63,BenukEl,1.0
64,vortexilation,1.0
65,christyleung1987,1.0
66,mihailik,1.0
67,neil-119,1.0
68,Drithyl,1.0
69,murakami,1.0
70,IdkGoodName,1.0
71,zhangyy985,1.0
72,Phantomghost1,1.0
73,armoreal,1.0
74,jianliao,1.0
75,ddimitrioglo,1.0
76,j-r-smith,1.0
77,wzup,1.0
78,cyrilchapon,1.0
79,KristianRykkje,1.0
80,v12,1.0
81,sysmat,1.0
82,Rstar1998,1.0
83,BrettHoutz,1.0
84,Subnum12,1.0
85,jenishkatuwal11,1.0
86,bajian,1.0
87,hegerdes,1.0
88,LakshmiSwethaG,1.0
89,Cellule,1.0
90,daltonna,1.0
91,zerdos,1.0
92,stsoib,1.0
93,p4rkjeno,1.0
94,kaloprominat,1.0
95,ginonott,1.0
96,blueiceprj,1.0
97,rstagi,1.0
98,ImanCol,1.0
99,F1r3Hydr4nt,1.0
100,mdavis777,1.0
101,Chuck-EP,1.0
102,vokrik,1.0
103,Paul-Browne,1.0
104,GRBurst,1.0
105,Alexis374,1.0
106,kohei-takata,1.0
107,Alexander-Ludwig,1.0
108,kipio,1.0
109,mike-zorn,1.0
110,PaulBlanche,1.0
111,sounisi5011,1.0
112,Jaracz42,1.0
113,AlexCannonball,1.0
114,paskakaska,1.0
115,BlackGlory,1.0
116,csmart29,1.0
117,felixge,1.0
118,NegiAkash890,1.0
119,foaadnami,1.0
120,MEP0981,1.0
121,silentroach,1.0
122,felipealfonsog,1.0
123,phanizv,1.0
124,hhugo,1.0
125,kylo5aby,1.0
126,DanielBelz1997,1.0
127,kamyarghajar,1.0
128,gultyayev,1.0
129,anmolji755w,1.0
130,firecraftgaming,1.0
131,kmccmk9,1.0
132,tomsoderlund,1.0
133,mn4367,1.0
134,joshkel,1.0
135,Jeyanthinath,1.0
136,x343734282,1.0
137,DavidsonOtobo,1.0
138,JonasUnderscore,1.0
139,Mirodil,1.0
140,aruneshchandra,1.0
141,jorydotcom,1.0
142,pkiddie,1.0
143,ArnoldZokas,1.0
144,jharrilim,1.0
145,kfranqueiro,1.0
146,arendjr,1.0
147,yanite,1.0
148,darkk,1.0
149,kevinburkeotto,1.0
150,joacub,1.0
151,kitsunde,1.0
152,markbjerke,1.0
153,bencripps,1.0
154,hyades,1.0
155,simlu,1.0
156,mkopinsky,1.0
157,dvirtz,1.0
158,frederi-co,1.0
159,lholmquist,1.0
160,wu-jingtao,1.0
161,jasperdunn,1.0
162,bashanam,1.0
163,gtzinos,1.0
164,iknoom,1.0
165,wmo123,1.0
166,ChuanfengLai,1.0
167,auxfix,1.0
168,Yi-love,1.0
169,bertalanimre,1.0
170,RyanZim,1.0
171,kitaro97,1.0
172,sheerun,1.0
173,aight8,1.0
174,Malwinderkaur,1.0
175,Ram1607,1.0
176,dyatlov,1.0
177,cateradmin,1.0
178,flensrocker,1.0
179,chexmixbbq,1.0
180,syberkitten,1.0
181,devnimahinsa2-cmyk,1.0
182,remojansen,1.0
183,blakeembrey,1.0
184,nileshsheth,1.0
185,thomasthiebaud,1.0
186,YaIWon,1.0
187,jamen,1.0
188,limerickgds,1.0
189,onlyurei,1.0
190,ChALkeR,1.0
191,0807Jpatel,1.0
192,sgigli,1.0
193,ma1971001,1.0
194,webstrand,1.0
195,ykhedher,1.0
196,AntouanK,1.0
197,luke-john,1.0
198,priyanshscpp,1.0
199,nbering,1.0
200,gandreottola,1.0
201,DD0630,1.0
202,Gena888,1.0
203,pavanravuri,1.0
204,loganaden,1.0
205,j3ko,1.0
206,vsemozhetbyt,1.0
207,dtklumpp,1.0
208,0wwafa,1.0
209,super-turbo,1.0
210,emilyford352,1.0
211,xRiiZu,1.0
212,MEGAPUNSH,1.0
213,liesislukas,1.0
214,an5er,1.0
215,dylanaraps,1.0
216,NekoNyanners,1.0
217,Alf71,1.0
218,siordache94,1.0
219,ColinTimBarndt,1.0
220,packetstracer,1.0
221,dmabupt,1.0
222,YongLi000,1.0
223,mateonunez,1.0
224,scips,1.0
225,borgsmidt,1.0
226,FullyArticulate,1.0
227,dancastillo,1.0
228,ktyldev,1.0
229,bacebu4,1.0
230,atondelier,1.0
231,yhwang,1.0
232,MegaMraz,1.0
233,phil-lgr,1.0
234,lvl99,1.0
235,michaloslav,1.0
236,V7lanw,1.0
237,mnkhouri,1.0
238,fzaninotto,1.0
239,popopome,1.0
240,abjunoo,1.0
241,GeoffreyPlitt,1.0
242,thinkingdyw,1.0
243,tun100,1.0
244,milmd90,1.0
245,dandclark,1.0
246,TA2k,1.0
247,bbit8,1.0
248,dylanb,1.0
249,liveforfree,1.0
250,DonRecardo,1.0
251,win-t,1.0
252,leela555,1.0
253,Ajido,1.0
254,bencmbrook,1.0
255,carboneater,1.0
256,beardedtim,1.0
257,iamogbz,1.0
258,mskec,1.0
259,mhamwala,1.0
260,bl-ue,1.0
261,dougalcampbell,1.0
262,Buffele,1.0
263,bimbiltu,1.0
264,RatanRSur,1.0
265,normallam,1.0
266,jeanbmar,1.0
267,Ankita-Khiratkar,1.0
268,KunalKumar-1,1.0
269,bgalek,1.0
270,erights,1.0
271,chsnt,1.0
272,bondden,1.0
273,chinhuang007,1.0
274,sebdeckers,1.0
275,shubham9411,1.0
276,arixmkii,1.0
277,hootan09,1.0
278,panta82,1.0
279,DinoChiesa,1.0
280,rg1220,1.0
281,adarshsaraogi,1.0
282,haggholm,1.0
283,trevors20,1.0
284,Ivasan7,1.0
285,LocutusOfBorg,1.0
286,li-plaintext,1.0
287,sdayan,1.0
288,chiptus,1.0
289,int0h,1.0
290,hexchain,1.0
291,kevintap-idemia,1.0
292,thangktran,1.0
293,aidant,1.0
294,thygasantos,1.0
295,vperezma,1.0
296,aliaburas80,1.0
297,vivekagrawal2810,1.0
298,treeindev,1.0
299,Shudrum,1.0
300,yahu1031,1.0
301,archcorsair,1.0
302,mag123c,1.0
303,willysys,1.0
304,nwoltman,1.0
305,fabiomcarneiro,1.0
306,al6x,1.0
307,zweifisch,1.0
308,yury-dymov,1.0
