Source,Target,Weight,Type
0,351,1.0,Directed
0,1668,1.0,Directed
0,5537,1.0,Directed
1,168,1.0,Directed
1,179,1.0,Directed
1,351,1.0,Directed
1,713,1.0,Directed
1,1668,1.0,Directed
1,1811,1.0,Directed
1,2459,1.0,Directed
1,2738,1.0,Directed
1,3219,1.0,Directed
1,3441,1.0,Directed
1,3809,1.0,Directed
1,4959,1.0,Directed
1,5488,1.0,Directed
2,1668,1.0,Directed
2,1811,1.0,Directed
2,2765,1.0,Directed
2,3824,1.0,Directed
3,179,1.0,Directed
3,1394,1.0,Directed
3,1811,1.0,Directed
3,1889,1.0,Directed
3,3387,1.0,Directed
7,168,1.0,Directed
7,1195,1.0,Directed
7,1811,1.0,Directed
7,3236,1.0,Directed
7,3367,1.0,Directed
7,3873,1.0,Directed
7,3997,1.0,Directed
7,4483,1.0,Directed
7,4602,1.0,Directed
8,75,1.0,Directed
8,179,1.0,Directed
8,898,1.0,Directed
8,1811,1.0,Directed
8,3263,1.0,Directed
9,168,1.0,Directed
9,179,1.0,Directed
9,1096,1.0,Directed
9,1549,1.0,Directed
9,1811,1.0,Directed
9,2459,1.0,Directed
9,3219,1.0,Directed
9,3824,1.0,Directed
9,5194,1.0,Directed
10,426,1.0,Directed
10,1811,1.0,Directed
10,2459,1.0,Directed
10,3076,1.0,Directed
10,3219,1.0,Directed
12,75,1.0,Directed
12,1405,1.0,Directed
12,1636,1.0,Directed
12,5537,1.0,Directed
13,91,1.0,Directed
13,351,1.0,Directed
13,882,1.0,Directed
13,1308,1.0,Directed
13,1405,1.0,Directed
13,1636,1.0,Directed
13,1811,1.0,Directed
13,2906,1.0,Directed
13,3219,1.0,Directed
13,3837,1.0,Directed
13,5537,1.0,Directed
14,351,1.0,Directed
14,1308,1.0,Directed
14,4602,1.0,Directed
14,5334,1.0,Directed
14,5537,1.0,Directed
15,426,1.0,Directed
15,1308,1.0,Directed
15,1811,1.0,Directed
15,3387,1.0,Directed
15,5537,1.0,Directed
17,351,1.0,Directed
17,1405,1.0,Directed
17,1811,1.0,Directed
17,2358,1.0,Directed
17,2625,1.0,Directed
17,2810,1.0,Directed
17,3219,1.0,Directed
18,75,1.0,Directed
18,179,1.0,Directed
18,1303,1.0,Directed
18,2487,1.0,Directed
19,3278,1.0,Directed
19,4092,1.0,Directed
19,5537,1.0,Directed
20,179,1.0,Directed
20,351,1.0,Directed
20,1811,1.0,Directed
20,2898,1.0,Directed
20,3219,1.0,Directed
20,5194,1.0,Directed
20,5488,1.0,Directed
20,5537,1.0,Directed
21,718,1.0,Directed
21,935,1.0,Directed
21,1308,1.0,Directed
21,1811,1.0,Directed
21,3387,1.0,Directed
21,3824,1.0,Directed
21,4926,1.0,Directed
21,5537,1.0,Directed
22,179,1.0,Directed
22,898,1.0,Directed
22,900,1.0,Directed
22,1811,1.0,Directed
22,2551,1.0,Directed
22,2810,1.0,Directed
22,3219,1.0,Directed
22,4092,1.0,Directed
22,4926,1.0,Directed
22,5537,1.0,Directed
24,1811,1.0,Directed
24,2625,1.0,Directed
25,3219,1.0,Directed
25,5537,1.0,Directed
26,2898,1.0,Directed
26,5488,1.0,Directed
26,5537,1.0,Directed
27,179,1.0,Directed
27,1811,1.0,Directed
27,3219,1.0,Directed
27,5194,1.0,Directed
28,75,1.0,Directed
28,853,1.0,Directed
28,1636,1.0,Directed
28,1936,1.0,Directed
28,3824,1.0,Directed
28,4793,1.0,Directed
30,75,1.0,Directed
30,91,1.0,Directed
30,179,1.0,Directed
30,3387,1.0,Directed
30,4092,1.0,Directed
32,1811,1.0,Directed
34,426,1.0,Directed
34,718,1.0,Directed
36,3441,1.0,Directed
36,5537,1.0,Directed
40,179,1.0,Directed
40,1811,1.0,Directed
42,3263,1.0,Directed
42,5194,1.0,Directed
43,1668,1.0,Directed
43,1811,1.0,Directed
43,2459,1.0,Directed
43,3219,1.0,Directed
43,5194,1.0,Directed
44,1811,1.0,Directed
45,75,1.0,Directed
45,1308,1.0,Directed
45,2551,1.0,Directed
45,2996,1.0,Directed
45,4602,1.0,Directed
48,91,1.0,Directed
48,351,1.0,Directed
48,1811,1.0,Directed
48,2551,1.0,Directed
48,2943,1.0,Directed
49,91,1.0,Directed
49,168,1.0,Directed
49,179,1.0,Directed
49,1668,1.0,Directed
49,1811,1.0,Directed
49,2459,1.0,Directed
49,3219,1.0,Directed
49,4926,1.0,Directed
49,5194,1.0,Directed
50,179,1.0,Directed
50,1811,1.0,Directed
50,3219,1.0,Directed
53,75,1.0,Directed
53,91,1.0,Directed
53,179,1.0,Directed
53,1936,1.0,Directed
53,3219,1.0,Directed
53,3824,1.0,Directed
53,3997,1.0,Directed
53,4432,1.0,Directed
53,5537,1.0,Directed
53,5547,1.0,Directed
55,75,1.0,Directed
55,179,1.0,Directed
55,895,1.0,Directed
55,1027,1.0,Directed
55,1259,1.0,Directed
55,5149,1.0,Directed
55,5305,1.0,Directed
56,179,1.0,Directed
56,351,1.0,Directed
56,1668,1.0,Directed
56,1811,1.0,Directed
56,1862,1.0,Directed
56,1921,1.0,Directed
56,2810,1.0,Directed
56,3824,1.0,Directed
56,5194,1.0,Directed
56,5537,1.0,Directed
57,351,1.0,Directed
57,672,1.0,Directed
57,718,1.0,Directed
57,3060,1.0,Directed
57,3219,1.0,Directed
57,5194,1.0,Directed
57,5537,1.0,Directed
58,1259,1.0,Directed
58,4031,1.0,Directed
58,4593,1.0,Directed
58,5194,1.0,Directed
59,168,1.0,Directed
59,179,1.0,Directed
59,426,1.0,Directed
59,1359,1.0,Directed
59,1811,1.0,Directed
59,2364,1.0,Directed
59,3020,1.0,Directed
59,3219,1.0,Directed
59,4602,1.0,Directed
59,5194,1.0,Directed
59,5488,1.0,Directed
59,5537,1.0,Directed
60,91,1.0,Directed
60,144,1.0,Directed
60,317,1.0,Directed
60,351,1.0,Directed
60,426,1.0,Directed
60,1405,1.0,Directed
60,1668,1.0,Directed
60,1811,1.0,Directed
60,2459,1.0,Directed
60,5194,1.0,Directed
60,5537,1.0,Directed
61,1668,1.0,Directed
61,1811,1.0,Directed
61,4602,1.0,Directed
61,4907,1.0,Directed
62,1308,1.0,Directed
62,3060,1.0,Directed
62,3219,1.0,Directed
62,3387,1.0,Directed
62,3824,1.0,Directed
63,75,1.0,Directed
63,179,1.0,Directed
63,898,1.0,Directed
63,1328,1.0,Directed
64,91,1.0,Directed
64,278,1.0,Directed
64,2810,1.0,Directed
64,4483,1.0,Directed
65,168,1.0,Directed
65,351,1.0,Directed
65,1308,1.0,Directed
65,1405,1.0,Directed
65,1811,1.0,Directed
65,2364,1.0,Directed
65,3219,1.0,Directed
65,3809,1.0,Directed
67,168,1.0,Directed
67,713,1.0,Directed
67,1811,1.0,Directed
67,3552,1.0,Directed
67,5537,1.0,Directed
68,91,1.0,Directed
68,251,1.0,Directed
68,254,1.0,Directed
68,351,1.0,Directed
68,426,1.0,Directed
68,1405,1.0,Directed
68,1811,1.0,Directed
68,2002,1.0,Directed
68,2364,1.0,Directed
68,2595,1.0,Directed
68,2810,1.0,Directed
68,2898,1.0,Directed
68,3219,1.0,Directed
68,3387,1.0,Directed
68,3466,1.0,Directed
68,3809,1.0,Directed
68,3824,1.0,Directed
68,4144,1.0,Directed
68,4214,1.0,Directed
68,4513,1.0,Directed
68,5371,1.0,Directed
68,5385,1.0,Directed
68,5537,1.0,Directed
70,75,1.0,Directed
70,91,1.0,Directed
70,179,1.0,Directed
