Id,Label,Weight
0,bnoordhuis,1.0
1,jasongin,1.0
2,c9n,1.0
3,not-an-aardvark,1.0
4,JungMinu,1.0
5,Mesteery,1.0
6,TimWolla,1.0
7,vsemozhetbyt,1.0
8,Flarna,1.0
9,hassaanp,1.0
10,targos,1.0
11,shisama,1.0
12,hiroppy,1.0
13,mmarchini,1.0
14,ronag,1.0
15,shigeki,1.0
16,maclover7,1.0
17,saghul,1.0
18,DerekNonGeneric,1.0
19,indutny,1.0
20,thefourtheye,1.0
21,Qard,1.0
22,digitalinfinity,1.0
23,ZYSzys,1.0
24,refack,1.0
25,aqrln,1.0
26,jbergstroem,1.0
27,apapirovski,1.0
28,VoltrexKeyva,1.0
29,legendecas,1.0
30,BethGriggs,1.0
31,MylesBorins,1.0
32,awibox,1.0
33,patilharshal16,1.0
34,UlisesGascon,1.0
35,addaleax,1.0
36,fhinkel,1.0
37,sam-github,1.0
38,richardlau,1.0
39,ryanmurakami,1.0
40,eljefedelrodeodeljefe,1.0
41,marsonya,1.0
42,devnexen,1.0
43,lpinca,1.0
44,srl295,1.0
45,bmeck,1.0
46,hybrist,1.0
47,TimothyGu,1.0
48,seishun,1.0
49,himself65,1.0
50,vdeturckheim,1.0
51,LiviaMedeiros,1.0
52,gengjiawen,1.0
53,silverwind,1.0
54,santigimeno,1.0
55,Ethan-Arrowood,1.0
56,RaisinTen,1.0
57,aduh95,1.0
58,gabrielschulhof,1.0
59,debadree25,1.0
60,S-YOU,1.0
61,fhemberger,1.0
62,lundibundi,1.0
63,F3n67u,1.0
64,joyeecheung,1.0
65,RafaelGSS,1.0
66,crypt096,1.0
67,HarshithaKP,1.0
68,ktaborski,1.0
69,nodejs-github-bot,1.0
70,mscdex,1.0
71,marco-ippolito,1.0
72,MoLow,1.0
73,eugeneo,1.0
74,tniessen,1.0
75,jbajwa,1.0
76,gireeshpunathil,1.0
77,ChALkeR,1.0
78,daeyeon,1.0
79,ofrobots,1.0
80,mcollina,1.0
81,ronkorving,1.0
82,trivikr,1.0
83,guybedford,1.0
84,hashseed,1.0
85,jasnell,1.0
86,cjihrig,1.0
87,gibfahn,1.0
88,BridgeAR,1.0
89,SukkaW,1.0
90,cclauss,1.0
91,antsmartian,1.0
92,evanlucas,1.0
93,devsnek,1.0
94,watilde,1.0
95,ljharb,1.0
96,mhdawson,1.0
97,juanarbol,1.0
98,anonrig,1.0
99,trevnorris,1.0
100,Fishrock123,1.0
101,danbev,1.0
102,codebytere,1.0
103,Dustin4444,1.0
104,tarqd,1.0
105,rvagg,1.0
106,XadillaX,1.0
107,benjamingr,1.0
108,Linkgoron,1.0
109,Trott,1.0
110,mithunsasidharan,1.0
111,overlookmotel,1.0
112,panva,1.0
113,imyller,1.0
114,mihalskiy,1.0
115,theanarkh,1.0
116,mertcanaltin,1.0
117,daynin,1.0
118,starkwang,1.0
119,ShogunPanda,1.0
120,italoacasas,1.0
121,davidben,1.0
122,misterdjules,1.0
123,bzoz,1.0
124,stouset,1.0
125,petkaantonov,1.0
126,martinheidegger,1.0
127,diversario,1.0
128,LinusU,1.0
129,tshemsedinov,1.0
130,Prokky,1.0
131,brycebaril,1.0
132,DannyNemer,1.0
133,dnlup,1.0
134,MattiasBuelens,1.0
135,ryzokuken,1.0
136,fengmk2,1.0
137,webertrlz,1.0
138,StefanStojanovic,1.0
139,lioncorpo,1.0
140,ry,1.0
141,aymen94,1.0
142,ckotzbauer,1.0
143,bmuenzenmeyer,1.0
144,bjohansebas,1.0
145,ovflowd,1.0
146,jdalton,1.0
147,WaleedAshraf,1.0
148,AugustinMauroy,1.0
149,daxlab,1.0
150,bnb,1.0
151,dario-piotrowicz,1.0
152,yorkie,1.0
153,avivkeller,1.0
154,Leko,1.0
155,exinfinitum,1.0
156,john-yan,1.0
157,hoho,1.0
158,jgehrcke,1.0
159,Renegade334,1.0
160,imran-iq,1.0
161,kt3k,1.0
162,jdmarshall,1.0
163,KhafraDev,1.0
