Id,Label,Weight
0,jnskw,1.0
1,andrewcrook,1.0
2,albertsj1,1.0
3,mupkoo,1.0
4,justDeeevin,1.0
5,dead10ck,1.0
6,tj-moody,1.0
7,cheap-glitch,1.0
8,fadeevab,1.0
9,RasheedAZ,1.0
10,accidentaldevelopment,1.0
11,Ben-PH,1.0
12,DennisFaucher,1.0
13,NelsonMinar,1.0
14,yann-soubeyrand,1.0
15,rmeno12,1.0
16,texastoland,1.0
17,Byron-Ding,1.0
18,kinchahoy,1.0
19,antoine-gallix,1.0
20,martymichal,1.0
21,msix29,1.0
22,BKSalman,1.0
23,diegolagospagopa,1.0
24,c0rner,1.0
25,mvarendorff,1.0
26,st1020,1.0
27,Perniciosius,1.0
28,sakuram-dev,1.0
29,r3h0,1.0
30,therealprof,1.0
31,jimblue,1.0
32,iwahbe,1.0
33,YoshiTheChinchilla,1.0
34,AtomAlpaca,1.0
35,sanmue,1.0
36,nazq,1.0
37,kunxi,1.0
38,MunifTanjim,1.0
39,williamwebb,1.0
40,smackysnacks,1.0
41,mmuruev,1.0
42,dmd,1.0
43,Jason-S-Ross,1.0
44,benthillerkus,1.0
45,Aleod-m,1.0
46,bmironer,1.0
47,Sylvain303,1.0
48,Ziemniakoss,1.0
49,wangzishi,1.0
50,Marsup,1.0
51,WasamiKirua,1.0
52,markatto,1.0
53,misuzu,1.0
54,YuvalNahon2,1.0
55,liferooter,1.0
56,Chapien,1.0
57,onnyyonn,1.0
58,LPe7,1.0
59,KhalilOuali,1.0
60,kondongx,1.0
61,aspieln3r,1.0
62,blaztinn,1.0
63,azzamsa,1.0
64,pt2121,1.0
65,reedts,1.0
66,wez,1.0
67,hiteshjoshi,1.0
68,MycrofD,1.0
69,max-sixty,1.0
70,Collision4468,1.0
71,infused-kim,1.0
72,eric-gitta-moore,1.0
73,jam1garner,1.0
74,anhkhoakz,1.0
75,domenkozar,1.0
76,cultab,1.0
77,aouerf,1.0
78,B1kku,1.0
79,cg-jl,1.0
80,danischn,1.0
81,brahmlower,1.0
82,brian-arms,1.0
83,rmarting,1.0
84,m-aherron,1.0
85,TechClusterHQ,1.0
86,dustbunnystudio,1.0
87,dominikbraun,1.0
88,knpwrs,1.0
89,msfjarvis,1.0
90,johnjohndoe,1.0
91,amiryal,1.0
92,frenkel,1.0
93,tchajed,1.0
94,G-Rath,1.0
95,giancarlosisasi,1.0
96,paddycarver,1.0
97,3x3cut0r,1.0
98,lucaspimentel,1.0
99,Hashversion,1.0
100,ofrades,1.0
101,abtris,1.0
102,W1M0R,1.0
103,lexpierce,1.0
104,malikoth,1.0
105,esposm03,1.0
106,hrqmonteiro,1.0
107,oskar,1.0
108,omar25h,1.0
109,haoadoreorange,1.0
110,dannyneira,1.0
111,codecov,1.0
112,nomaed,1.0
113,JarHMJ,1.0
114,mikan-megane,1.0
115,nknganda,1.0
116,amangalampalli,1.0
117,fosskers,1.0
118,sschleemilch,1.0
119,joedborg,1.0
120,c33s,1.0
121,Effiti,1.0
122,sixtyfive,1.0
123,JTarasovic,1.0
124,silentroach,1.0
125,kohenkatz,1.0
126,fx-kirin,1.0
127,opennomad,1.0
128,acid-bong,1.0
129,Daydreamer-riri,1.0
130,cospectrum,1.0
131,rkucsora,1.0
132,doongjohn,1.0
133,yuchanns,1.0
134,scabala,1.0
135,edrex,1.0
