Id,Label,Weight
0,matchai,1.0
1,lovesegfault,1.0
2,fdigrego,1.0
3,QuentinHsu,1.0
4,Haegin,1.0
5,71,1.0
6,lx07,1.0
7,microyahoo,1.0
8,luxlogica,1.0
9,that70schris,1.0
10,hackerzgz,1.0
11,mjeffryes,1.0
12,Milo123459,1.0
13,rcjeferson,1.0
14,yonkeltron,1.0
15,prkstaff,1.0
16,ammnt,1.0
17,marble-sh,1.0
18,rjshrjndrn,1.0
19,rogerdahl,1.0
20,KaoruMuta,1.0
21,tuxinaut,1.0
22,MaT1g3R,1.0
23,muuvmuuv,1.0
24,levone1,1.0
25,ybc37,1.0
26,yashLadha,1.0
27,davidkna,1.0
28,dependabot-preview,1.0
29,lucarin91,1.0
30,steve-ross,1.0
31,cm-iwata,1.0
32,daUnknownCoder,1.0
33,watersb,1.0
34,cljoly,1.0
35,jnskw,1.0
36,zot,1.0
37,dodgez,1.0
38,jankatins,1.0
39,mfs,1.0
40,basbossink,1.0
41,spease,1.0
42,adrienbrignon,1.0
43,ncautotest,1.0
44,tim77,1.0
45,limjh16,1.0
46,mre,1.0
47,yanganto,1.0
48,elman22,1.0
49,Scotsguy,1.0
50,GeorgePetri,1.0
51,LitoMore,1.0
52,pickfire,1.0
53,Vad1mo,1.0
54,Glandos,1.0
55,conformist-mw,1.0
56,herbygillot,1.0
57,sshyran,1.0
58,logicmason,1.0
59,st-schneider,1.0
60,matiaskotlik,1.0
61,jonstodle,1.0
62,jainpratik163,1.0
63,kwonoj,1.0
64,DrPyser,1.0
65,hbednar,1.0
66,classicvalues,1.0
67,danimesq,1.0
68,BuggStream,1.0
69,HarrisonMc555,1.0
70,chirsz-ever,1.0
71,Southclaws,1.0
72,schrieveslaach,1.0
73,michel-slm,1.0
74,kakulukia,1.0
75,zrll12,1.0
76,Astrantia,1.0
77,youssefhabri,1.0
78,TsubasaKawajiri,1.0
79,alesso-x,1.0
80,yurivict,1.0
81,jescalan,1.0
82,aut0,1.0
83,badsyntax,1.0
84,dten,1.0
85,dbanetto,1.0
86,oblitum,1.0
87,DonizeteVida,1.0
88,andymac4182,1.0
89,CSumm,1.0
90,m0nhawk,1.0
91,mupkoo,1.0
92,CouldBeThis,1.0
93,Turbo87,1.0
94,YangFong,1.0
95,monkeywithacupcake,1.0
96,rEnr3n,1.0
97,tivervac,1.0
98,shivammathur,1.0
99,brsanthu,1.0
100,johnmerchant,1.0
101,kaushalyap,1.0
102,maximousblk,1.0
103,ucodery,1.0
104,tiffafoo,1.0
105,iddm,1.0
106,JarHMJ,1.0
107,cultab,1.0
108,pmarreck,1.0
109,dead10ck,1.0
110,9mdv,1.0
111,tsjazil,1.0
112,numToStr,1.0
113,doongjohn,1.0
114,bvdeenen,1.0
115,MarioAriasC,1.0
116,Gautham,1.0
117,cfal,1.0
118,BRAVO68WEB,1.0
119,joshhhhyyyy,1.0
120,vishrutarya,1.0
121,txk2048,1.0
122,mickimnet,1.0
123,emarsk,1.0
124,cathaysia,1.0
