Source,Target,Weight,Type
0,1871,2.0,Directed
1,1419,3.0,Directed
3,444,3.0,Directed
5,380,3.0,Directed
7,2047,3.0,Directed
8,1905,3.0,Directed
12,3009,2.0,Directed
13,870,5.0,Directed
13,1419,4.0,Directed
14,1782,2.0,Directed
15,2761,6.0,Directed
17,1419,12.0,Directed
17,2010,3.0,Directed
18,1419,38.0,Directed
19,1868,3.0,Directed
21,2541,3.0,Directed
22,2663,3.0,Directed
23,2229,3.0,Directed
24,3445,3.0,Directed
26,1419,11.0,Directed
27,870,8.0,Directed
27,951,3.0,Directed
27,1419,7.0,Directed
30,2095,3.0,Directed
31,2757,12.0,Directed
32,870,20.0,Directed
32,1419,17.0,Directed
32,2383,7.0,Directed
32,2571,4.0,Directed
32,3106,9.0,Directed
33,1360,3.0,Directed
34,1193,3.0,Directed
34,2571,27.0,Directed
35,652,4.0,Directed
35,1193,3.0,Directed
35,1775,3.0,Directed
35,2571,21.0,Directed
35,2586,15.0,Directed
37,1193,3.0,Directed
37,2571,16.0,Directed
38,870,8.0,Directed
38,1419,4.0,Directed
40,3426,4.0,Directed
46,2571,2.0,Directed
47,777,3.0,Directed
47,2550,3.0,Directed
47,2571,5.0,Directed
48,1249,9.0,Directed
49,2352,3.0,Directed
51,2135,6.0,Directed
51,2714,9.0,Directed
51,3616,3.0,Directed
53,870,8.0,Directed
53,1419,8.0,Directed
53,2702,3.0,Directed
53,2865,2.0,Directed
56,2770,9.0,Directed
58,1274,3.0,Directed
59,52,3.0,Directed
59,117,3.0,Directed
59,224,6.0,Directed
59,266,3.0,Directed
59,425,2.0,Directed
59,461,3.0,Directed
59,568,31.0,Directed
59,582,24.0,Directed
59,589,3.0,Directed
59,652,2.0,Directed
59,670,2.0,Directed
59,687,9.0,Directed
59,748,9.0,Directed
59,858,3.0,Directed
59,870,69.0,Directed
59,875,4.0,Directed
59,918,8.0,Directed
59,1037,3.0,Directed
59,1088,3.0,Directed
59,1193,6.0,Directed
59,1217,35.0,Directed
59,1269,9.0,Directed
59,1287,9.0,Directed
59,1323,2.0,Directed
59,1391,10.0,Directed
59,1628,3.0,Directed
59,1742,2.0,Directed
59,1789,8.0,Directed
59,1790,7.0,Directed
59,1825,3.0,Directed
59,2012,6.0,Directed
59,2096,2.0,Directed
59,2330,3.0,Directed
59,2371,3.0,Directed
59,2384,6.0,Directed
59,2433,14.0,Directed
