Id,Label,Weight
0,oryband,1.0
1,iosmanthus,1.0
2,barraponto,1.0
3,maxwowpow,1.0
4,karambaq,1.0
5,KevinApodaca,1.0
6,Aerogaming92,1.0
7,Baneeishaque,1.0
8,sant123,1.0
9,yooakim,1.0
10,sebakri,1.0
11,SystematicError,1.0
12,folliehiyuki,1.0
13,kohenkatz,1.0
14,mmatthews06,1.0
15,AaronM04,1.0
16,Bhupesh-V,1.0
17,arcuru,1.0
18,amtoine,1.0
19,abdelrahman-elkady,1.0
20,crisgarner,1.0
21,bandhan-majumder,1.0
22,otavio-silva,1.0
23,dadrian,1.0
24,MCMaurer,1.0
25,LucEast,1.0
26,brandondong,1.0
27,Ramiellll,1.0
28,nazq,1.0
29,vladsirenko-gl,1.0
30,karrtikr,1.0
31,taranjlu,1.0
32,FollowTheProcess,1.0
33,fossrob,1.0
34,pt2121,1.0
35,KokaKiwi,1.0
36,zimbatm,1.0
37,oblitum,1.0
38,nim65s,1.0
39,oaimtiaz,1.0
40,silentroach,1.0
41,Grafikart,1.0
42,sidmadala,1.0
43,herder,1.0
44,sourikghosh,1.0
45,jzetterman,1.0
46,DCjanus,1.0
47,hwchen,1.0
48,Sylvain303,1.0
49,dinesh-grammer,1.0
50,ParthJadhav,1.0
51,albertosantini,1.0
52,brunobord,1.0
53,jjant,1.0
54,benruijl,1.0
55,AbdulAlimMahir,1.0
56,superbonaci,1.0
57,nathanielknight,1.0
58,carboncrystal,1.0
59,heyrict,1.0
60,pfranz,1.0
61,srouquette,1.0
62,xinxilas,1.0
63,kylesferrazza,1.0
64,jimhigson,1.0
65,vandrw,1.0
66,TDH55,1.0
67,thfsilvab,1.0
68,jemhv,1.0
69,codebam,1.0
70,felintusun,1.0
71,RicaBenhossi,1.0
72,equt,1.0
73,alexanderthoren,1.0
74,sngo666,1.0
75,greyk4201,1.0
76,mborejdo,1.0
77,mohityadav7,1.0
78,gaetschwartz,1.0
79,tomprince,1.0
80,j-nix,1.0
81,alok,1.0
82,Sayanel01,1.0
83,etrigan63,1.0
84,scott-parkhill,1.0
85,B1kku,1.0
86,edufcarvalho,1.0
87,bflad,1.0
88,TyPR124,1.0
89,christophehenry,1.0
90,vypxl,1.0
91,nikmennega,1.0
92,danisztls,1.0
93,m-haug,1.0
94,Pandademic,1.0
95,clvanbrandt,1.0
96,princemaple,1.0
97,alephalpha0,1.0
98,schrej,1.0
99,Narfinger,1.0
100,sambehrens,1.0
101,notDavid,1.0
102,g0rdonL,1.0
103,eltociear,1.0
104,recursiveribbons,1.0
105,lianghx-319,1.0
106,thexeromin,1.0
107,rbpatt2019,1.0
108,cycle2zhou,1.0
109,zackify,1.0
110,AndrewGaspar,1.0
111,RangerOverhaul,1.0
112,orefalo,1.0
113,Me1m0th,1.0
114,jokeyrhyme,1.0
115,rjsab,1.0
116,levone1,1.0
117,sandorex,1.0
118,Idesmi,1.0
119,clumbo,1.0
120,chschmir,1.0
121,joshhhhyyyy,1.0
122,Lucretiel,1.0
123,JonasOlson,1.0
124,technicalpickles,1.0
125,spk,1.0
126,dnlopes,1.0
127,xav-ie,1.0
128,sabinonweb,1.0
129,tobyvin,1.0
130,tcoopman,1.0
131,MingcongBai,1.0
