Id,Label,Weight
0,notgba,1.0
1,potatoqualitee,1.0
2,fgsch,1.0
3,TsekNet,1.0
4,rohanmclure,1.0
5,scolby33,1.0
6,tricktron,1.0
7,pineapplehunter,1.0
8,ananas-dev,1.0
9,nagy,1.0
10,chadcatlett,1.0
11,kichristensen,1.0
12,fsommar,1.0
13,Kwelity,1.0
14,qstrahl,1.0
15,williamluke4,1.0
16,rafasoares,1.0
17,networkException,1.0
18,xatier,1.0
19,KaoruMuta,1.0
20,geeknees,1.0
21,Multimo,1.0
22,rumia-san,1.0
23,junosuarez,1.0
24,lucasaf04,1.0
25,andrewgazelka,1.0
26,ybc37,1.0
27,kilna,1.0
28,mkw,1.0
29,AtomAlpaca,1.0
30,max-niederman,1.0
31,cutwater,1.0
32,jhilliker,1.0
33,ChisatoLycoris,1.0
34,juliangehring,1.0
35,orhun,1.0
36,Hecim1984,1.0
37,heyajulia,1.0
38,Zshoham,1.0
39,offbyone,1.0
40,sanmue,1.0
41,amaanq,1.0
42,klane,1.0
43,jemhv,1.0
44,logotip4ik,1.0
45,ubunatic,1.0
46,kamanberu88,1.0
47,jRimbault,1.0
48,SamirTalwar,1.0
49,bijancn,1.0
50,boreinhardt,1.0
51,jGDarkness,1.0
52,jdx,1.0
53,cmarqu,1.0
54,yoursvivek,1.0
55,heyrict,1.0
56,LPe7,1.0
57,vedang,1.0
58,B1kku,1.0
59,jeffbyrnes,1.0
60,0x00002a,1.0
61,injust,1.0
62,reitzig,1.0
63,brahmlower,1.0
64,brandondong,1.0
65,cg-jl,1.0
66,br3ndonland,1.0
67,kianmeng,1.0
68,marlonrichert,1.0
69,cheap-glitch,1.0
70,dmigo,1.0
71,nirvdrum,1.0
72,wislertt,1.0
73,jetjinser,1.0
74,bestgopher,1.0
75,tamanishi,1.0
76,Rieuxx,1.0
77,kkovaacs,1.0
78,jjant,1.0
79,hunterliao29,1.0
80,alex-grover,1.0
81,twm,1.0
82,msfjarvis,1.0
83,lifecodeof,1.0
84,pantheraleo-7,1.0
85,charlesrocket,1.0
86,arawnx,1.0
87,fraserli,1.0
88,staniond,1.0
89,sirhcel,1.0
90,r15ch13,1.0
91,ryanpcmcquen,1.0
92,romero126,1.0
93,fbanning,1.0
94,itsAftabAlam,1.0
95,anki-code,1.0
96,lucarin91,1.0
97,laxtiz,1.0
98,brewedBorrows,1.0
99,dependabot-preview,1.0
100,bjornfor,1.0
101,cncsl,1.0
102,ananta,1.0
103,abekoh,1.0
104,zartre,1.0
105,atahabaki,1.0
106,glehmann,1.0
107,emilio,1.0
108,LitoMore,1.0
109,sambehrens,1.0
110,zzamboni,1.0
111,hhtpcd,1.0
112,marcybelardo,1.0
113,AlexHaxe,1.0
114,dinhani,1.0
115,jsnelgro,1.0
116,hugh-fox,1.0
117,Letsch22,1.0
118,gaborbernat,1.0
119,aryaag,1.0
120,rcedwards,1.0
121,jaeyeom,1.0
